run_accession	fastq_ftp	fastq_md5	read_count
SRR960455	ftp.sra.ebi.ac.uk/vol1/fastq/SRR960/SRR960455/SRR960455.fastq.gz	bc24dead759b11a52307c374eb38235a	27426242
SRR960456	ftp.sra.ebi.ac.uk/vol1/fastq/SRR960/SRR960456/SRR960456.fastq.gz	2f8a0bc7c6b74033bb46af0f9f679056	25254091
SRR960457	ftp.sra.ebi.ac.uk/vol1/fastq/SRR960/SRR960457/SRR960457.fastq.gz	cfba1975270fca2edf6c119a4cb50cb4	16201883
SRR960458	ftp.sra.ebi.ac.uk/vol1/fastq/SRR960/SRR960458/SRR960458.fastq.gz	5c38d19fe8295e14bb6eb627813ddff9	14913403
SRR960459	ftp.sra.ebi.ac.uk/vol1/fastq/SRR960/SRR960459/SRR960459.fastq.gz	7b63a3806a1f11b925627819b2b4cea6	20821112
SRR960461	ftp.sra.ebi.ac.uk/vol1/fastq/SRR960/SRR960461/SRR960461.fastq.gz	484ff0c5855ad20d0050e32ff3add0e2	19322414
SRR960469	ftp.sra.ebi.ac.uk/vol1/fastq/SRR960/SRR960469/SRR960469.fastq.gz	c025811d1d7ca6b6a8f9bd09a581516f	12403621
SRR960470	ftp.sra.ebi.ac.uk/vol1/fastq/SRR960/SRR960470/SRR960470.fastq.gz	c8998137e342527144f12638dc763769	11514151
SRR960462	ftp.sra.ebi.ac.uk/vol1/fastq/SRR960/SRR960462/SRR960462.fastq.gz	31c9cefe878fc22c6e972cfafca7b0ea	17779670
SRR960463	ftp.sra.ebi.ac.uk/vol1/fastq/SRR960/SRR960463/SRR960463.fastq.gz	8261058a26a2dbf2bfed7457e040f8ea	10987894
SRR960466	ftp.sra.ebi.ac.uk/vol1/fastq/SRR960/SRR960466/SRR960466.fastq.gz	5d37e6a48985b65d4377b102793ebc29	17301623
SRR960467	ftp.sra.ebi.ac.uk/vol1/fastq/SRR960/SRR960467/SRR960467.fastq.gz	4ef95e71f69437bb4684d11a24a6c36c	16072353
SRR960460	ftp.sra.ebi.ac.uk/vol1/fastq/SRR960/SRR960460/SRR960460.fastq.gz	d1ef909e060a1392223bfbcaca047515	19150729
SRR960464	ftp.sra.ebi.ac.uk/vol1/fastq/SRR960/SRR960464/SRR960464.fastq.gz	97848dbdfa87f71401f8c2c88634cac4	10216633
SRR960465	ftp.sra.ebi.ac.uk/vol1/fastq/SRR960/SRR960465/SRR960465.fastq.gz	97f52fbf3c1338eb0a44002a21a71c67	18768962
SRR960468	ftp.sra.ebi.ac.uk/vol1/fastq/SRR960/SRR960468/SRR960468.fastq.gz	e1fc8bf8ed7b05c49508e8c8be21f558	14770275
