Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR960455 - illumina_universal_adapter	(1, 0.0)	(2, 1.0938428968868574e-05)	(3, 2.9169143916982865e-05)	(4, 0.00010938428968868575)	(5, 0.00014219957659529148)	(6, 0.00018595329247076577)	(7, 0.00019324557845001148)	(8, 0.00020783015040850292)	(9, 0.00025523000927360007)	(10, 0.00032815286906605725)	(12, 0.00039196037138445727)	(14, 0.0005341599479797487)	(16, 0.0006781825960698516)	(18, 0.0008313206016340117)	(20, 0.0009753432497241146)	(22, 0.0011321273982778973)	(24, 0.0013235499052330975)	(26, 0.0015350261986312233)	(28, 0.0018066638513581264)	(30, 0.002216854937690698)	(32, 0.002782007101082241)	(34, 0.0034146129097818068)	(36, 0.004355317801104504)	(38, 0.005589537203091842)	(40, 0.007042525184456552)	(42, 0.009179164976375546)	(44, 0.011917418361582312)	(46, 0.015173424051315524)	(48, 0.019173242910931802)	(50, 0.023902290368472648)	(52, 0.029934833944803667)	(54, 0.03736749642914987)	(56, 0.045729925375849884)	(58, 0.05557815759082123)	(60, 0.06740806852065259)	(62, 0.08193065604832044)	(64, 0.1003965472192654)	(66, 0.12267448088586108)	(68, 0.14886107983733243)	(70, 0.1801376944023173)	(72, 0.21804481999393138)	(74, 0.26629787631860025)	(76, 0.32499166309405425)	(78, 0.39546613786897966)	(80, 0.47970480242973135)	(82, 0.581413961125261)	(84, 0.7065951653164878)	(86, 0.8604897455509946)	(88, 1.0431122864007398)
SRR960455 - polya	(1, 0.01680142689618213)	(2, 0.02575270793570625)	(3, 0.029227482204816833)	(4, 0.03505766484522378)	(5, 0.03831002439196737)	(6, 0.040526879329658066)	(7, 0.044056345743612994)	(8, 0.05150906201440212)	(9, 0.06437994676777081)	(10, 0.07690627100862013)	(12, 0.08591771340747303)	(14, 0.09950324218680781)	(16, 0.11273691816764397)	(18, 0.12493144339643761)	(20, 0.13994626022770454)	(22, 0.15882963477096132)	(24, 0.17654259741454917)	(26, 0.19904476887500666)	(28, 0.2191350167478286)	(30, 0.23235593122820108)	(32, 0.24397618893612913)	(34, 0.25723174177490304)	(36, 0.26879913040948156)	(38, 0.28078217934487704)	(40, 0.2934251801613943)	(42, 0.3056707513920427)	(44, 0.31822989091979864)	(46, 0.33200866527758344)	(48, 0.3437893532770549)	(50, 0.3542647220862414)	(52, 0.36418770023249997)	(54, 0.3768161164770587)	(56, 0.38848377404385187)	(58, 0.39905941178525295)	(60, 0.40787578553416104)	(62, 0.41802300147428145)	(64, 0.4281665712714122)	(66, 0.43845416371663315)	(68, 0.44937071582756394)	(70, 0.460691989810343)	(72, 0.47319096797877014)	(74, 0.4837720749346557)	(76, 0.4960285845942729)	(78, 0.5077527573774052)	(80, 0.5168152457781128)	(82, 0.5257355346022251)	(84, 0.536613802211765)	(86, 0.5496104788982756)	(88, 0.5615114896164046)
SRR960456 - illumina_universal_adapter	(1, 0.0)	(2, 7.919508961934128e-06)	(3, 1.5839017923868256e-05)	(4, 9.107435306224248e-05)	(5, 0.00010295361650514366)	(6, 0.00014651091579578136)	(7, 0.00015839017923868255)	(8, 0.00016630968820061668)	(9, 0.0001742291971625508)	(10, 0.0002098669874912544)	(12, 0.000279162690908178)	(14, 0.0003880559391347723)	(16, 0.0005207077142471689)	(18, 0.0006414802259166643)	(20, 0.0007483935969027751)	(22, 0.0009186630395843588)	(24, 0.0011245702725946462)	(26, 0.001340376891807351)	(28, 0.001607660319272628)	(30, 0.001999676012888367)	(32, 0.002443168514756678)	(34, 0.0030727694772304413)	(36, 0.00391817705891691)	(38, 0.004997210154980435)	(40, 0.006527655261874205)	(42, 0.008499612993395803)	(44, 0.010976439421240701)	(46, 0.013906657737156328)	(48, 0.017579330018253278)	(50, 0.022317176254730373)	(52, 0.027997444057677623)	(54, 0.03507946494688722)	(56, 0.04313558543841471)	(58, 0.05242120969628247)	(60, 0.0639104373228084)	(62, 0.07840709847762883)	(64, 0.0965308947370151)	(66, 0.11811551641276655)	(68, 0.14386975955697634)	(70, 0.17360157607731752)	(72, 0.21139149296642673)	(74, 0.2586511626967686)	(76, 0.31719217294338564)	(78, 0.3862166331783631)	(80, 0.46796378456068766)	(82, 0.5674783542991114)	(84, 0.6898842646920057)	(86, 0.8412082620594026)	(88, 1.02017332558119)
SRR960456 - polya	(1, 0.01711801862122062)	(2, 0.026403642879088383)	(3, 0.0299001060857823)	(4, 0.03596249019614287)	(5, 0.03917781083468813)	(6, 0.04145070990676322)	(7, 0.04493925360449521)	(8, 0.05243110908248489)	(9, 0.06505876612228886)	(10, 0.07728450808227467)	(12, 0.08619989529617202)	(14, 0.09930272287369202)	(16, 0.11220360297268273)	(18, 0.1250470666316994)	(20, 0.1407118553584051)	(22, 0.15955830681056782)	(24, 0.17808203827253177)	(26, 0.20049028888032439)	(28, 0.22072067452358513)	(30, 0.23427491411193535)	(32, 0.24654619324845228)	(34, 0.2601657687857385)	(36, 0.2724588265719008)	(38, 0.2847380252173797)	(40, 0.2974508169785244)	(42, 0.30986266739911567)	(44, 0.3224685457892743)	(46, 0.33615939690721797)	(48, 0.3483079236548249)	(50, 0.35891808578657614)	(52, 0.36922928645501435)	(54, 0.38220144213466245)	(56, 0.39386885871283195)	(58, 0.4048235194844273)	(60, 0.4135448787287572)	(62, 0.42354919842492056)	(64, 0.43386633872508024)	(66, 0.44430425153690944)	(68, 0.4551341800423543)	(70, 0.46658579000131106)	(72, 0.47919958790043166)	(74, 0.48990874389420713)	(76, 0.5019840151839161)	(78, 0.5139979102791703)	(80, 0.5233092729411642)	(82, 0.532123686415797)	(84, 0.5437732840988021)	(86, 0.5569097695894103)	(88, 0.5684405746379864)
SRR960457 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 1.2344244184456832e-05)	(4, 6.789334301451257e-05)	(5, 6.789334301451257e-05)	(6, 9.875395347565465e-05)	(7, 9.875395347565465e-05)	(8, 0.0001172703197523399)	(9, 0.00014195880812125356)	(10, 0.00018824972381296668)	(12, 0.0002561430668274792)	(14, 0.0003981018749487328)	(16, 0.0005092000726088443)	(18, 0.0006141261481767274)	(20, 0.0007560849562979809)	(22, 0.0008856995202347776)	(24, 0.0010184001452176886)	(26, 0.001141842587062257)	(28, 0.001323920188782995)	(30, 0.0016263541713021875)	(32, 0.0020151978631125778)	(34, 0.0025490864240903357)	(36, 0.0032619665257427174)	(38, 0.004227903633176464)	(40, 0.005301852877224209)	(42, 0.006903518560157483)	(44, 0.009258183138342624)	(46, 0.011798011379294617)	(48, 0.015001342745161165)	(50, 0.019250848805660428)	(52, 0.024984750229340626)	(54, 0.03185123605694474)	(56, 0.04026075240760596)	(58, 0.05017935260981702)	(60, 0.06261309256461116)	(62, 0.07847236028059207)	(64, 0.09936499356278526)	(66, 0.1253496275710669)	(68, 0.15683362236352405)	(70, 0.19428914528021218)	(72, 0.2409905070910585)	(74, 0.300477419815956)	(76, 0.3755335105184996)	(78, 0.4650693996494111)	(80, 0.5724550658710472)	(82, 0.7007148490085998)	(84, 0.8640970929119782)	(86, 1.0669716600224801)	(88, 1.3072492870118864)
SRR960457 - polya	(1, 0.012159080521689979)	(2, 0.020435896247368284)	(3, 0.023497268805113578)	(4, 0.029854554560108847)	(5, 0.03309491865852877)	(6, 0.03573658691400253)	(7, 0.039705261419305395)	(8, 0.04687726729047482)	(9, 0.059493084846989695)	(10, 0.07263661884239012)	(12, 0.08117574975698812)	(14, 0.09411868978439111)	(16, 0.10686412190484279)	(18, 0.11973299646713903)	(20, 0.1348176628605453)	(22, 0.15352536492208962)	(24, 0.17130107654770743)	(26, 0.19245293895777424)	(28, 0.21154639865008285)	(30, 0.22479794478209725)	(32, 0.23609601427192134)	(34, 0.24852049604357718)	(36, 0.2602351837746267)	(38, 0.2718140848196472)	(40, 0.2845502587569605)	(42, 0.2968636423309562)	(44, 0.3099979181432183)	(46, 0.32315688244384927)	(48, 0.33512462718068015)	(50, 0.3457838820339586)	(52, 0.3555882979774635)	(54, 0.3681084476415488)	(56, 0.3793231934831278)	(58, 0.38944547371438243)	(60, 0.3978210433935364)	(62, 0.4073014229271993)	(64, 0.4170965806875658)	(66, 0.42654609961076745)	(68, 0.4369522974582646)	(70, 0.4477905438522177)	(72, 0.46008849712098276)	(74, 0.4703002731225747)	(76, 0.48125887589732624)	(78, 0.49239955627379856)	(80, 0.5010652156912871)	(82, 0.5099376411988656)	(84, 0.5208252645695565)	(86, 0.5328547305273097)	(88, 0.5431436580550545)
SRR960458 - illumina_universal_adapter	(1, 0.0)	(2, 6.705377706215007e-06)	(3, 2.6821510824860028e-05)	(4, 9.38752878870101e-05)	(5, 0.00012069679871187012)	(6, 0.00014081293183051515)	(7, 0.00015422368724294516)	(8, 0.00016092906494916015)	(9, 0.0001877505757740202)	(10, 0.00023468821971752525)	(12, 0.00032185812989832035)	(14, 0.0003956172846666854)	(16, 0.0004961979502599106)	(18, 0.0006638323929152856)	(20, 0.0008415249021299833)	(22, 0.0010560969887288634)	(24, 0.0012237314313842387)	(26, 0.0013578389855085388)	(28, 0.0016260540937571392)	(30, 0.0019680283567741043)	(32, 0.0023502348860283597)	(34, 0.002890017791378668)	(36, 0.0035471448065877388)	(38, 0.004492603063164055)	(40, 0.005676102228311003)	(42, 0.007288745566655712)	(44, 0.00937411803328858)	(46, 0.011922161561650282)	(48, 0.015419016035441407)	(50, 0.019519354502791884)	(52, 0.024994295399916436)	(54, 0.03204835274685462)	(56, 0.0402590877481149)	(58, 0.049901420889652076)	(60, 0.06230301695729673)	(62, 0.07818470405446698)	(64, 0.0980393274425696)	(66, 0.1229229841103335)	(68, 0.1530267773223858)	(70, 0.1890514190490259)	(72, 0.2344971164528981)	(74, 0.29301159500618335)	(76, 0.36538608927821503)	(78, 0.45380319971236616)	(80, 0.5588731156799022)	(82, 0.6867211997154505)	(84, 0.8470031957159609)	(86, 1.0448621283821002)	(88, 1.281722890476439)
SRR960458 - polya	(1, 0.012062974493480797)	(2, 0.02039775898230605)	(3, 0.023562697259639533)	(4, 0.03020102118879239)	(5, 0.0335134777756626)	(6, 0.0360145836600808)	(7, 0.04002439952839738)	(8, 0.047970272110262155)	(9, 0.06085130268390119)	(10, 0.07371556981327468)	(12, 0.08271418669501521)	(14, 0.09573603020048477)	(16, 0.10837231448784693)	(18, 0.12085102239911306)	(20, 0.13602864483713073)	(22, 0.15432091521968527)	(24, 0.17170125423419458)	(26, 0.19304447147307693)	(28, 0.2130935508146598)	(30, 0.226852985867813)	(32, 0.23858739685368927)	(34, 0.25124044458531697)	(36, 0.263434173944069)	(38, 0.2751685849299452)	(40, 0.28798256172652215)	(42, 0.30027687175086737)	(44, 0.3127153473958961)	(46, 0.3260791651643827)	(48, 0.3383835332552872)	(50, 0.34844830519231595)	(52, 0.35811075446697177)	(54, 0.3705022924680571)	(56, 0.38200872061192204)	(58, 0.3921640151479847)	(60, 0.4008206577667083)	(62, 0.4109122512145619)	(64, 0.4210004919735623)	(66, 0.4308305756908735)	(68, 0.44085176267281184)	(70, 0.45174464875655806)	(72, 0.4640858964248468)	(74, 0.4743786512038869)	(76, 0.48583143632610215)	(78, 0.49718364078272415)	(80, 0.5064303566395946)	(82, 0.5154323262101883)	(84, 0.526338623049347)	(86, 0.5391123675796865)	(88, 0.5500622493739357)
SRR960459 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 9.60563489596521e-06)	(4, 4.322535703184345e-05)	(5, 5.7633809375791264e-05)	(6, 8.164789661570429e-05)	(7, 8.164789661570429e-05)	(8, 9.605634895965211e-05)	(9, 0.00011046480130359992)	(10, 0.00016089438450741727)	(12, 0.00024254228112312158)	(14, 0.00032659158646281716)	(16, 0.0004106408918025128)	(18, 0.000499493014590191)	(20, 0.0005931479548258518)	(22, 0.0007156197997494082)	(24, 0.0007924648789171299)	(26, 0.0009149367238406863)	(28, 0.001078232517072095)	(30, 0.0012319226754075384)	(32, 0.001484070591426625)	(34, 0.0018274720389573813)	(36, 0.002206894617348007)	(38, 0.002706387631938198)	(40, 0.0035180637806472583)	(42, 0.004531458262171589)	(44, 0.005801803477162987)	(46, 0.007211430398145882)	(48, 0.009026895393483307)	(50, 0.011509952014090313)	(52, 0.014331607264780093)	(54, 0.018190671084234118)	(56, 0.022671699763201887)	(58, 0.027659425682931824)	(60, 0.033790222155281616)	(62, 0.04194540618195608)	(64, 0.0522114284770189)	(66, 0.06454026086599025)	(68, 0.07949383299028409)	(70, 0.09739153221019127)	(72, 0.1201664925485248)	(74, 0.1495957564610382)	(76, 0.1854631971625723)	(78, 0.23015581492477444)	(80, 0.28308046179281876)	(82, 0.34868694813226114)	(84, 0.42967205594014385)	(86, 0.5309226519697892)	(88, 0.6524723559433329)
SRR960459 - polya	(1, 0.013856128337429817)	(2, 0.024744115492006384)	(3, 0.028816904687895634)	(4, 0.03710656760311361)	(5, 0.040982441283635575)	(6, 0.04447408956831893)	(7, 0.04890709007280687)	(8, 0.05818133056486128)	(9, 0.07263781108328893)	(10, 0.0874953268586231)	(12, 0.09704092653648855)	(14, 0.11119963237314126)	(16, 0.1254640001936496)	(18, 0.13911120597209217)	(20, 0.15564970785422028)	(22, 0.1765995975623204)	(24, 0.19692031818473482)	(26, 0.22263940561868165)	(28, 0.24666790131093863)	(30, 0.26238752281818567)	(32, 0.27567451728802955)	(34, 0.28948742026842755)	(36, 0.30231334426326506)	(38, 0.31515847952789455)	(40, 0.32825336129981914)	(42, 0.3414635106904953)	(44, 0.35498104039784234)	(46, 0.368880394092304)	(48, 0.38123804338596323)	(50, 0.39247663621424256)	(52, 0.4031773134883478)	(54, 0.4164378924622278)	(56, 0.42833447128088065)	(58, 0.43958987397022786)	(60, 0.4490874454736135)	(62, 0.4594975522921158)	(64, 0.4703183000024206)	(66, 0.48149205479515217)	(68, 0.4927450560757754)	(70, 0.5048313461836236)	(72, 0.5190692985081681)	(74, 0.5307185322282498)	(76, 0.5443561323717965)	(78, 0.5574390071001012)	(80, 0.5677674660219877)	(82, 0.5778221643493393)	(84, 0.590038130528283)	(86, 0.6040479490240482)	(88, 0.6163551687345037)
