Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR960455	(1, 31.194896114458555)	(2, 31.61124816152355)	(3, 31.780825787215033)	(4, 34.766070903917495)	(5, 35.31605587816224)	(6, 35.14603141764738)	(7, 35.14972816910169)	(8, 35.15226074356086)	(9, 36.74275994501908)	(10, 36.74467768861662)	(12, 36.61064827984818)	(14, 37.635939149082105)	(16, 37.564163949257065)	(18, 37.52790179930594)	(20, 37.42568606373414)	(22, 37.36202637605254)	(24, 36.42181663094783)	(26, 34.9892883793558)	(28, 34.5577608481687)	(30, 34.45597663361973)	(32, 34.54698966777876)	(34, 34.42589981886691)	(36, 34.29490868635958)	(38, 34.071276936154796)	(40, 33.8674722005297)	(42, 33.65553270112617)	(44, 33.46772851708958)	(46, 33.25784881501447)	(48, 33.04861096172053)	(50, 32.85599058740895)	(52, 32.60774562187557)	(54, 32.34387890254888)	(56, 32.07285041093125)	(58, 31.783018468224704)	(60, 31.504882477154545)	(62, 31.198268796723955)	(64, 30.891691778261126)	(66, 30.566459196269033)	(68, 30.197696516351016)	(70, 29.897614846394195)	(72, 29.548810478664922)	(74, 29.180119080842353)	(76, 28.834804163107727)	(78, 28.485470138417067)	(80, 28.172125605104775)	(82, 27.93987628709759)	(84, 27.820720115428138)	(86, 27.566474655915307)	(88, 27.275942325601882)	(90, 26.99886639591381)	(92, 26.678308880232297)	(94, 26.333620041710418)	(96, 25.936940740915215)	(98, 25.5221502457391)	(100, 25.22134188125373)
SRR960456	(1, 31.032088424802144)	(2, 31.498560926227753)	(3, 31.69070460702783)	(4, 34.88176204797868)	(5, 35.27921737511756)	(6, 35.08908592275208)	(7, 35.1025114703198)	(8, 35.133965067283555)	(9, 36.652013410421304)	(10, 36.66631075733433)	(12, 36.54049985406325)	(14, 37.56321165944955)	(16, 37.53140746582405)	(18, 37.48863861304689)	(20, 37.43033835587272)	(22, 37.39175805219043)	(24, 36.49417456759778)	(26, 35.06551823623349)	(28, 34.68230250298853)	(30, 34.42387805603457)	(32, 34.24014637866)	(34, 33.97997940214914)	(36, 33.81663602542653)	(38, 33.57834938505607)	(40, 33.72506650506645)	(42, 33.60933582998493)	(44, 33.46224772057723)	(46, 33.299889708958446)	(48, 33.08391246392515)	(50, 32.8768462701746)	(52, 32.62815270207112)	(54, 32.39568472292271)	(56, 32.155626864574145)	(58, 31.905335000970734)	(60, 31.6290685734838)	(62, 31.32834317814092)	(64, 31.03398239516916)	(66, 30.735324922207653)	(68, 30.384497525569223)	(70, 30.08742585508225)	(72, 29.75758486021136)	(74, 29.434509105871204)	(76, 29.103975866721953)	(78, 28.77887800435977)	(80, 28.483144176521737)	(82, 28.177096019809227)	(84, 27.873834183934793)	(86, 27.576669201833475)	(88, 27.311886339524158)	(90, 27.024587679675342)	(92, 26.854326255496584)	(94, 26.79572466100641)	(96, 26.501364373003963)	(98, 26.17358635082134)	(100, 25.91654512530267)
SRR960457	(1, 31.209587860867778)	(2, 31.641933471560066)	(3, 31.808413133214206)	(4, 34.78646753590308)	(5, 35.335990452467776)	(6, 35.17389596011772)	(7, 35.17665557762638)	(8, 35.17794394639191)	(9, 36.77791019722831)	(10, 36.77604439558044)	(12, 36.64217082051512)	(14, 37.67294455835781)	(16, 37.597471880274654)	(18, 37.56189493529857)	(20, 37.460150280063125)	(22, 37.399591886943014)	(24, 36.477042668435516)	(26, 35.07251857700737)	(28, 34.650454147829606)	(30, 34.55151086450877)	(32, 34.64637267779307)	(34, 34.52815626430582)	(36, 34.400620810556404)	(38, 34.17849323439751)	(40, 33.986150035770535)	(42, 33.78087904967589)	(44, 33.596826862655405)	(46, 33.392831746779066)	(48, 33.18567246165153)	(50, 32.99984196281383)	(52, 32.7542176424802)	(54, 32.49562668117033)	(56, 32.23010751281194)	(58, 31.942969314122315)	(60, 31.669495329647795)	(62, 31.365399225509776)	(64, 31.062639632689606)	(66, 30.738470738246907)	(68, 30.36921205393225)	(70, 30.071328036377004)	(72, 29.727228958510565)	(74, 29.360192670197655)	(76, 29.016017490065813)	(78, 28.665480919717787)	(80, 28.349050076463335)	(82, 28.120631040231558)	(84, 28.00074963508871)	(86, 27.743301164438726)	(88, 27.452944296659837)	(90, 27.17709197751891)	(92, 26.85865250971137)	(94, 26.519626669319855)	(96, 26.128186520048317)	(98, 25.718880546168613)	(100, 25.42152094296694)
SRR960458	(1, 31.04750263906903)	(2, 31.53143263143898)	(3, 31.72135950460133)	(4, 34.908978118542095)	(5, 35.30467586774125)	(6, 35.11861115803013)	(7, 35.13135285085503)	(8, 35.16269378625388)	(9, 36.689270986642015)	(10, 36.702463113214336)	(12, 36.57489048609496)	(14, 37.605203922941)	(16, 37.57070110021167)	(18, 37.52666098408257)	(20, 37.467717361356094)	(22, 37.43438348712229)	(24, 36.55518163761819)	(26, 35.156156311205436)	(28, 34.782422529586306)	(30, 34.53013064824977)	(32, 34.348220791726746)	(34, 34.08853955063107)	(36, 33.929670143025035)	(38, 33.6933039695903)	(40, 33.85055376026518)	(42, 33.74024885534173)	(44, 33.598099307046155)	(46, 33.44387786610474)	(48, 33.231072076574335)	(50, 33.028255623481776)	(52, 32.78475201132834)	(54, 32.55567404703004)	(56, 32.318956210061515)	(58, 32.07515565025635)	(60, 31.79821003965359)	(62, 31.50248940500032)	(64, 31.211605459867208)	(66, 30.91300087578938)	(68, 30.56241895293784)	(70, 30.268450534059866)	(72, 29.93953529586775)	(74, 29.620439915691946)	(76, 29.2925329986724)	(78, 28.965468411200312)	(80, 28.664865155189595)	(82, 28.363187362401458)	(84, 28.061864451728425)	(86, 27.76279867177196)	(88, 27.49826079265745)	(90, 27.210111803456257)	(92, 27.03978156427477)	(94, 26.98466604168076)	(96, 26.695522309696855)	(98, 26.371127501885383)	(100, 26.12002599272614)
SRR960459	(1, 31.199113092518786)	(2, 31.610580645260445)	(3, 31.793411898461525)	(4, 34.778181011657786)	(5, 35.33173924620357)	(6, 35.17026165557344)	(7, 35.173221872107504)	(8, 35.176654205596705)	(9, 36.77547025346197)	(10, 36.773419546468034)	(12, 36.63702793587585)	(14, 37.66710231422798)	(16, 37.59567394863444)	(18, 37.56300139012748)	(20, 37.46122774326366)	(22, 37.39795895627476)	(24, 36.45115854042762)	(26, 35.00451138248524)	(28, 34.57839302723121)	(30, 34.478514908329586)	(32, 34.56730973350511)	(34, 34.44722258350082)	(36, 34.31971548877889)	(38, 34.09329655399769)	(40, 33.89558766121617)	(42, 33.68622720534811)	(44, 33.499918952455566)	(46, 33.29261278168044)	(48, 33.08299674388188)	(50, 32.892299460278586)	(52, 32.64170198978806)	(54, 32.377832581660385)	(56, 32.10028486951129)	(58, 31.81326345586153)	(60, 31.538186409064032)	(62, 31.23240403778626)	(64, 30.929687521012326)	(66, 30.605976880581593)	(68, 30.23542443362295)	(70, 29.93638043923879)	(72, 29.593633159458534)	(74, 29.225515500805145)	(76, 28.876175561612655)	(78, 28.529224783959666)	(80, 28.213373522028988)	(82, 27.979751921991486)	(84, 27.855144504289683)	(86, 27.598259233224432)	(88, 27.30615214019309)	(90, 27.027182313797653)	(92, 26.709955981217526)	(94, 26.36159768988323)	(96, 25.956985750809082)	(98, 25.54570476351119)	(100, 25.25090965362465)
SRR960460	(1, 31.03575963087358)	(2, 31.498607494263013)	(3, 31.705127204295984)	(4, 34.90002145610227)	(5, 35.29991082845984)	(6, 35.116641617141575)	(7, 35.128262219156255)	(8, 35.16104645415848)	(9, 36.68564549161549)	(10, 36.69714408783081)	(12, 36.56818236527706)	(14, 37.594684593991175)	(16, 37.56238300380106)	(18, 37.52288416801261)	(20, 37.46352138866358)	(22, 37.42810892473075)	(24, 36.51928652428845)	(26, 35.080030112691794)	(28, 34.70119432529174)	(30, 34.44705916939246)	(32, 34.26399451947756)	(34, 34.002672770315954)	(36, 33.84560705234772)	(38, 33.60667956817727)	(40, 33.755781072355006)	(42, 33.64189645208806)	(44, 33.496125212779106)	(46, 33.33806527678398)	(48, 33.12089646822322)	(50, 32.91411073698552)	(52, 32.664622192711306)	(54, 32.431624796110896)	(56, 32.18186307685728)	(58, 31.93583889156387)	(60, 31.658418904053207)	(62, 31.359924888499023)	(64, 31.066886122194095)	(66, 30.77105576503119)	(68, 30.420155624362913)	(70, 30.12264700210629)	(72, 29.79581738115557)	(74, 29.474210616212048)	(76, 29.141860056606724)	(78, 28.818229060627402)	(80, 28.51981726126457)	(82, 28.210870066617307)	(84, 27.90899913000701)	(86, 27.61031193642811)	(88, 27.345534052515703)	(90, 27.056015178325588)	(92, 26.882870176900315)	(94, 26.817915208345333)	(96, 26.515259471323517)	(98, 26.187696562360628)	(100, 25.937367449562885)
SRR960461	(1, 31.19641122480866)	(2, 31.622684204985983)	(3, 31.79211986659638)	(4, 34.76548841154113)	(5, 35.32403513349833)	(6, 35.15668047481024)	(7, 35.161591972928434)	(8, 35.166465535827975)	(9, 36.76039189513277)	(10, 36.76008608448199)	(12, 36.62392594941812)	(14, 37.64918454288372)	(16, 37.575448932001976)	(18, 37.53952340013002)	(20, 37.43739439078368)	(22, 37.37651483401608)	(24, 36.43540165323029)	(26, 35.001594029607276)	(28, 34.57496602132632)	(30, 34.47266995210847)	(32, 34.55967057221732)	(34, 34.44047304337853)	(36, 34.30843483117586)	(38, 34.084540265000015)	(40, 33.88770939800793)	(42, 33.673435989933765)	(44, 33.4829723397915)	(46, 33.275127942088396)	(48, 33.06039840570645)	(50, 32.86713326813099)	(52, 32.61332685967706)	(54, 32.34606881935146)	(56, 32.06568397716766)	(58, 31.774843272688393)	(60, 31.493848465310805)	(62, 31.185928243748428)	(64, 30.880595431813024)	(66, 30.55848919808881)	(68, 30.18725393214326)	(70, 29.891705456678444)	(72, 29.548294664424432)	(74, 29.180399716101725)	(76, 28.836037774576198)	(78, 28.4889379505066)	(80, 28.178619969533827)	(82, 27.948282083180704)	(84, 27.830490900360587)	(86, 27.576895257497327)	(88, 27.287984772503062)	(90, 27.012365018159738)	(92, 26.696687768929905)	(94, 26.34798154619811)	(96, 25.947025847805556)	(98, 25.538408322065763)	(100, 25.241846696794717)
SRR960462	(1, 31.031183705884306)	(2, 31.507114755223242)	(3, 31.70103387745667)	(4, 34.890763776830504)	(5, 35.28982360190037)	(6, 35.098467969315514)	(7, 35.11285850637273)	(8, 35.14560995789011)	(9, 36.66577973606934)	(10, 36.67961264185443)	(12, 36.55159817364439)	(14, 37.574243250858984)	(16, 37.54038325795698)	(18, 37.49793770075597)	(20, 37.43809851363946)	(22, 37.40466442852989)	(24, 36.5046491020362)	(26, 35.074638140077965)	(28, 34.695877257564405)	(30, 34.43881928067282)	(32, 34.25611482102873)	(34, 33.995248786957234)	(36, 33.83399320684805)	(38, 33.59389817133839)	(40, 33.74647968719329)	(42, 33.6272900453158)	(44, 33.47851515241847)	(46, 33.320237130385436)	(48, 33.09928007662684)	(50, 32.88723573047194)	(52, 32.636088240107945)	(54, 32.40133183011834)	(56, 32.14894027841912)	(58, 31.90191218397192)	(60, 31.619849974718313)	(62, 31.319683886146368)	(64, 31.02494624478407)	(66, 30.727742078452522)	(68, 30.375294254617774)	(70, 30.07861208897578)	(72, 29.75302069723454)	(74, 29.433994303606312)	(76, 29.104623904718142)	(78, 28.78249196976097)	(80, 28.48719512229417)	(82, 28.18151163660518)	(84, 27.880196820300938)	(86, 27.585752154005107)	(88, 27.325249428138992)	(90, 27.037136881618164)	(92, 26.867135807357506)	(94, 26.808473919932148)	(96, 26.506720315956372)	(98, 26.18113333937019)	(100, 25.929420287328167)
SRR960463	(1, 31.20806853433424)	(2, 31.656829234064325)	(3, 31.835611355551848)	(4, 34.842329567431214)	(5, 35.39680142527767)	(6, 35.23693939894215)	(7, 35.27234063233591)	(8, 35.27635605148721)	(9, 36.90473015120095)	(10, 36.88824819387592)	(12, 36.75189017112834)	(14, 37.79032451532568)	(16, 37.71584836912332)	(18, 37.68615887630514)	(20, 37.59635959356724)	(22, 37.54446625531699)	(24, 36.64004899392003)	(26, 35.25033104614951)	(28, 34.8442454941775)	(30, 34.753023827860005)	(32, 34.85461595279314)	(34, 34.744382545008165)	(36, 34.627778262149235)	(38, 34.412713027628406)	(40, 34.230375220219635)	(42, 34.0345123005373)	(44, 33.85871014045094)	(46, 33.67688207585549)	(48, 33.477605171655284)	(50, 33.300463901453725)	(52, 33.062362223370556)	(54, 32.81152903368016)	(56, 32.54393908423215)	(58, 32.27142953872689)	(60, 32.00943479250892)	(62, 31.71551186241877)	(64, 31.419208084824987)	(66, 31.101265401723023)	(68, 30.737240548552798)	(70, 30.441654606424123)	(72, 30.10245120675536)	(74, 29.730076391344873)	(76, 29.379979366382678)	(78, 29.03220922043842)	(80, 28.711430370551447)	(82, 28.464705702475833)	(84, 28.328657975768607)	(86, 28.060381862074752)	(88, 27.76950874298569)	(90, 27.493217854122)	(92, 27.176544568049163)	(94, 26.8339450671803)	(96, 26.43812681483822)	(98, 26.034690587659476)	(100, 25.747499202303917)
SRR960464	(1, 31.034455186948577)	(2, 31.54234423415229)	(3, 31.746031887413398)	(4, 34.954747811730144)	(5, 35.363984984094074)	(6, 35.18240451624327)	(7, 35.22490844097072)	(8, 35.25621043645201)	(9, 36.81522787399724)	(10, 36.812661715459484)	(12, 36.68686792409984)	(14, 37.72407861768158)	(16, 37.68667118609429)	(18, 37.647967241262364)	(20, 37.60324600090852)	(22, 37.573902674198045)	(24, 36.710881951030245)	(26, 35.33192662396702)	(28, 34.97207118039769)	(30, 34.72729127100875)	(32, 34.55210376060293)	(34, 34.30675355569687)	(36, 34.15870443814513)	(38, 33.93507547936781)	(40, 34.09994608791369)	(42, 33.99868508538968)	(44, 33.86192368855767)	(46, 33.72201502197446)	(48, 33.52103917210298)	(50, 33.32534857618944)	(52, 33.085181145295124)	(54, 32.86690140479745)	(56, 32.63058827697931)	(58, 32.39754320234465)	(60, 32.13640261914077)	(62, 31.847875616164345)	(64, 31.570020866952937)	(66, 31.277008971546692)	(68, 30.93226285998528)	(70, 30.634818584557163)	(72, 30.31278974198251)	(74, 29.987774250088066)	(76, 29.651877580412254)	(78, 29.32489040175956)	(80, 29.01956486055631)	(82, 28.70238516936059)	(84, 28.38880920945286)	(86, 28.081163383279012)	(88, 27.818278830217352)	(90, 27.533082327612238)	(92, 27.355177238920103)	(94, 27.288491472679894)	(96, 26.99229075763023)	(98, 26.673682807241878)	(100, 26.43133261222166)
