Sample	Unique Reads	Duplicate Reads
SRR960455	12973090.0	14453152.0
SRR960456	12266356.0	12987735.0
SRR960457	8651722.0	7550161.0
SRR960458	8105344.0	6808059.0
SRR960459	10658649.0	10162463.0
SRR960460	9982335.0	9168394.0
SRR960461	10027295.0	9295119.0
SRR960462	9401137.0	8378533.0
SRR960463	6336085.0	4651809.0
SRR960464	5998350.0	4218283.0
SRR960465	9800374.0	8968588.0
SRR960466	9261492.0	8040131.0
SRR960467	8750857.0	7321496.0
SRR960468	8226792.0	6543483.0
SRR960469	7209159.0	5194462.0
SRR960470	6789538.0	4724613.0
