Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR960455	(1.0, 35.11000593859149)	(2.0, 11.501252510831858)	(3.0, 6.902280817479559)	(4.0, 4.8340577688944935)	(5.0, 3.6535432876360976)	(6.0, 2.8157605089146545)	(7.0, 2.277652723626848)	(8.0, 1.8210190255940788)	(9.0, 1.5772104378126675)	('>10', 16.09528162380936)	('>50', 4.145400978249766)	('>100', 6.94938922275469)	('>500', 1.4304317364043824)	('>1k', 0.8867134194000252)	('>5k', 0.0)	('>10k+', 0.0)
SRR960456	(1.0, 36.32338911266487)	(2.0, 11.758963039619807)	(3.0, 7.002589747362846)	(4.0, 4.7509819345879185)	(5.0, 3.521232741766482)	(6.0, 2.752767353874404)	(7.0, 2.173032222400165)	(8.0, 1.7514835013326915)	(9.0, 1.5392414330114952)	('>10', 15.619595229437714)	('>50', 3.98637975471288)	('>100', 6.766017817967428)	('>500', 1.288390009427684)	('>1k', 0.7659361018335055)	('>5k', 0.0)	('>10k+', 0.0)
SRR960457	(1.0, 41.000448868813336)	(2.0, 12.629629363834535)	(3.0, 7.14139795208794)	(4.0, 4.636999158290097)	(5.0, 3.2676441210828586)	(6.0, 2.4972224664807174)	(7.0, 1.987122822796133)	(8.0, 1.616959323863003)	(9.0, 1.3735508180432474)	('>10', 13.415580322047083)	('>50', 3.681770042174771)	('>100', 5.520327437511237)	('>500', 0.8995815049425395)	('>1k', 0.33176579803256634)	('>5k', 0.0)	('>10k+', 0.0)
SRR960458	(1.0, 41.9338830479003)	(2.0, 12.789557056601659)	(3.0, 7.071600298948308)	(4.0, 4.620492839041915)	(5.0, 3.287794634420732)	(6.0, 2.3946128594224403)	(7.0, 1.9418191400774716)	(8.0, 1.6206747008135352)	(9.0, 1.370269377796337)	('>10', 13.150782962200905)	('>50', 3.5015408544395616)	('>100', 5.224760730409046)	('>500', 0.8095721186656033)	('>1k', 0.28263937926223076)	('>5k', 0.0)	('>10k+', 0.0)
SRR960459	(1.0, 39.32910637950544)	(2.0, 11.947297231496524)	(3.0, 6.7529411940282085)	(4.0, 4.418417768169177)	(5.0, 3.23436583316892)	(6.0, 2.438652280825085)	(7.0, 2.02016586522396)	(8.0, 1.6666897755538583)	(9.0, 1.3635572107424332)	('>10', 13.196632408980374)	('>50', 3.514620258724426)	('>100', 6.446438761952004)	('>500', 1.8688291612970915)	('>1k', 1.8022858703326774)	('>5k', 0.0)	('>10k+', 0.0)
SRR960460	(1.0, 40.2003798244455)	(2.0, 12.252679523388528)	(3.0, 6.702162002696199)	(4.0, 4.436662511346472)	(5.0, 3.2346517352776036)	(6.0, 2.3915812043410414)	(7.0, 1.8972855007916443)	(8.0, 1.5490194140257416)	(9.0, 1.2520132336735097)	('>10', 12.855165664916388)	('>50', 3.4925413494288238)	('>100', 6.333977078310688)	('>500', 1.7731902461378488)	('>1k', 1.6286907112203177)	('>5k', 0.0)	('>10k+', 0.0)
SRR960461	(1.0, 39.966992487847016)	(2.0, 12.350059670543308)	(3.0, 6.702126876213972)	(4.0, 4.37915252381454)	(5.0, 3.164207647117059)	(6.0, 2.3698972987576483)	(7.0, 1.8241625287467422)	(8.0, 1.5149048335144273)	(9.0, 1.2542266052784075)	('>10', 12.830793526659964)	('>50', 3.700685282920932)	('>100', 6.499911302732456)	('>500', 1.8111176448841118)	('>1k', 1.6317617709694063)	('>5k', 0.0)	('>10k+', 0.0)
SRR960462	(1.0, 41.01445482184455)	(2.0, 12.34760188832166)	(3.0, 6.619928560924827)	(4.0, 4.402069942958103)	(5.0, 3.108404603578908)	(6.0, 2.3431083149945353)	(7.0, 1.8992801324666444)	(8.0, 1.4821240809861802)	(9.0, 1.2317157658784388)	('>10', 12.447315953762683)	('>50', 3.496685287102984)	('>100', 6.395595225306991)	('>500', 1.7360148141679563)	('>1k', 1.4757006077055579)	('>5k', 0.0)	('>10k+', 0.0)
SRR960463	(1.0, 45.97210218328199)	(2.0, 12.492906123614011)	(3.0, 6.61682394079187)	(4.0, 4.056910988733788)	(5.0, 2.981359798759931)	(6.0, 2.1500611396306706)	(7.0, 1.7317176620724146)	(8.0, 1.3747804486689112)	(9.0, 1.1160322062410404)	('>10', 11.635673835777752)	('>50', 3.1043326308085617)	('>100', 4.809754534890893)	('>500', 1.208109906049381)	('>1k', 0.749434600678889)	('>5k', 0.0)	('>10k+', 0.0)
SRR960464	(1.0, 47.09515609402616)	(2.0, 12.501497059269044)	(3.0, 6.581129477325656)	(4.0, 4.083781442317107)	(5.0, 2.766398882443444)	(6.0, 2.124252279625047)	(7.0, 1.721611639622717)	(8.0, 1.3601354543327608)	(9.0, 1.1640159056589479)	('>10', 11.216055966514126)	('>50', 2.9950862822840456)	('>100', 4.597056524323233)	('>500', 1.1584381715475562)	('>1k', 0.6353848207102764)	('>5k', 0.0)	('>10k+', 0.0)
