Sample	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR960455	83.53146595877044	22.909542	SR	100.0	0.0	52.698259317520616	48.0	100.0	100	18.181818181818183	27.426242
SRR960456	83.5281737125284	21.094281	SR	100.0	0.0	51.42824494638309	48.0	100.0	100	18.181818181818183	25.254091
SRR960457	83.35861948885818	13.505666	SR	100.0	0.0	46.60051819384468	47.0	100.0	100	9.090909090909092	16.201883
SRR960458	83.35384620129959	12.430895	SR	100.0	0.0	45.65060950819425	47.0	100.0	100	9.090909090909092	14.913402999999999
SRR960459	77.61275190297233	16.159838	SR	100.0	0.0	48.80845487688108	47.0	100.0	100	9.090909090909092	20.821112
SRR960460	77.609802739102	14.862843	SR	100.0	0.0	47.87491051194491	47.0	100.0	100	9.090909090909092	19.150729
SRR960461	78.0963237823183	15.090095	SR	100.0	0.0	48.10537647580359	48.0	100.0	100	9.090909090909092	19.322414
SRR960462	78.1072089639459	13.887203999999999	SR	100.0	0.0	47.1242371146112	48.0	100.0	100	9.090909090909092	17.77967
SRR960463	79.02188535855916	8.682841	SR	100.0	0.0	42.335766030306566	47.0	100.0	100	9.090909090909092	10.987893999999999
SRR960464	79.01349691233892	8.072519	SR	100.0	0.0	41.28838761422372	47.0	100.0	100	9.090909090909092	10.216633
SRR960465	84.12291526830306	15.788998	SR	100.0	0.0	47.784145710523404	47.0	100.0	100	9.090909090909092	18.768962
SRR960466	84.10601132622067	14.551705	SR	100.0	0.0	46.470389318959704	47.0	100.0	100	9.090909090909092	17.301623
SRR960467	83.61363143280887	13.438678	SR	100.0	0.0	45.553360330292946	47.0	100.0	100	9.090909090909092	16.072353
SRR960468	83.60681842416611	12.348956999999999	SR	100.0	0.0	44.30170167911284	47.0	100.0	100	9.090909090909092	14.770275
SRR960469	83.29220958944167	10.331249999999999	SR	100.0	0.0	41.878594804351835	48.0	100.0	100	9.090909090909092	12.403621
SRR960470	83.29053527263973	9.590198	SR	100.0	0.0	41.03310020797999	48.0	100.0	100	9.090909090909092	11.514151
