Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	frag_length_source	seq_bias_correct	gc_bias_correct	pos_bias_correct	num_bias_bins	mapping_type	keep_duplicates	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	num_processed	num_mapped	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	num_decoy_fragments	inference_truncated_mass	num_bootstraps	num_orphan	meta_info_complete	range_factorization_bins	num_em_iterations	em_converged	detected_library_type	total_time_seconds	peak_rss_kb	diagnostics	call	start_time	end_time
SRR960455	2.5.1	none	vb	[]	1	['SR']	1001	249.9999999999999	25.00166661148391	reads	True	False	False	0	mapping	False	a914953216178a8795a6ee7dfa2d3d22084150a3c28ecde0ade5becc546bba74	fc111ca778e7756df10bd4bef7bbbaa55eac7e4b055b77f6b2657a17853e7eb2	6882f7aaf531a22cd213cc3fe43ce68bd4634780dd2e4c8d8b762f31997c74c41454c0a9b6ce3bd115ebdf9dffde0aeb1d9f316b9d50aa355f8c6450e059b933	747f0fa344944f8eef964af31f4275c75391378ea69d03ebaa51567613c8364a51fa8df7be55d24991f0360b3c0142b7baae88a75429abd8fb0714f50efd19ad	6d5c78d0c202612d68fdce3fd52615b2afba101da6ce2f5c15e90943d54e64e9	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	187432	194	379466	False	['range_factorized', 'gzipped']	[558, 773, 1484, 2802, 248946422]	27426242	22909542	0	359364	22288157	83.53146595877044	3589153	0.0	0	0	True	4	1992	True	SR	212.611167511	9302112	[]	quant	Mon Aug 17 11:43:26 2026	Mon Aug 17 11:46:59 2026
SRR960456	2.5.1	none	vb	[]	1	['SR']	1001	249.9999999999999	25.00166661148391	reads	True	False	False	0	mapping	False	a914953216178a8795a6ee7dfa2d3d22084150a3c28ecde0ade5becc546bba74	fc111ca778e7756df10bd4bef7bbbaa55eac7e4b055b77f6b2657a17853e7eb2	6882f7aaf531a22cd213cc3fe43ce68bd4634780dd2e4c8d8b762f31997c74c41454c0a9b6ce3bd115ebdf9dffde0aeb1d9f316b9d50aa355f8c6450e059b933	747f0fa344944f8eef964af31f4275c75391378ea69d03ebaa51567613c8364a51fa8df7be55d24991f0360b3c0142b7baae88a75429abd8fb0714f50efd19ad	6d5c78d0c202612d68fdce3fd52615b2afba101da6ce2f5c15e90943d54e64e9	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	187432	194	369707	False	['range_factorized', 'gzipped']	[558, 773, 1484, 2802, 248946422]	25254091	21094281	0	324524	20437793	83.5281737125284	3309202	0.0	0	0	True	4	2863	True	SR	221.361665459	9304392	[]	quant	Mon Aug 17 11:46:59 2026	Mon Aug 17 11:50:41 2026
SRR960457	2.5.1	none	vb	[]	1	['SR']	1001	249.9999999999999	25.00166661148391	reads	True	False	False	0	mapping	False	a914953216178a8795a6ee7dfa2d3d22084150a3c28ecde0ade5becc546bba74	fc111ca778e7756df10bd4bef7bbbaa55eac7e4b055b77f6b2657a17853e7eb2	6882f7aaf531a22cd213cc3fe43ce68bd4634780dd2e4c8d8b762f31997c74c41454c0a9b6ce3bd115ebdf9dffde0aeb1d9f316b9d50aa355f8c6450e059b933	747f0fa344944f8eef964af31f4275c75391378ea69d03ebaa51567613c8364a51fa8df7be55d24991f0360b3c0142b7baae88a75429abd8fb0714f50efd19ad	6d5c78d0c202612d68fdce3fd52615b2afba101da6ce2f5c15e90943d54e64e9	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	187432	194	332307	False	['range_factorized', 'gzipped']	[558, 773, 1484, 2802, 248946422]	16201883	13505666	0	227754	13120679	83.35861948885818	2147091	0.0	0	0	True	4	1746	True	SR	156.790843685	9299644	[]	quant	Mon Aug 17 11:50:41 2026	Mon Aug 17 11:53:18 2026
SRR960458	2.5.1	none	vb	[]	1	['SR']	1001	249.9999999999999	25.00166661148391	reads	True	False	False	0	mapping	False	a914953216178a8795a6ee7dfa2d3d22084150a3c28ecde0ade5becc546bba74	fc111ca778e7756df10bd4bef7bbbaa55eac7e4b055b77f6b2657a17853e7eb2	6882f7aaf531a22cd213cc3fe43ce68bd4634780dd2e4c8d8b762f31997c74c41454c0a9b6ce3bd115ebdf9dffde0aeb1d9f316b9d50aa355f8c6450e059b933	747f0fa344944f8eef964af31f4275c75391378ea69d03ebaa51567613c8364a51fa8df7be55d24991f0360b3c0142b7baae88a75429abd8fb0714f50efd19ad	6d5c78d0c202612d68fdce3fd52615b2afba101da6ce2f5c15e90943d54e64e9	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	187432	194	323977	False	['range_factorized', 'gzipped']	[558, 773, 1484, 2802, 248946422]	14913403	12430895	0	206503	12037489	83.35384620129959	1978568	0.0	0	0	True	4	2067	True	SR	129.21451795	9292712	[]	quant	Mon Aug 17 11:53:18 2026	Mon Aug 17 11:55:27 2026
SRR960459	2.5.1	none	vb	[]	1	['SR']	1001	249.9999999999999	25.00166661148391	reads	True	False	False	0	mapping	False	a914953216178a8795a6ee7dfa2d3d22084150a3c28ecde0ade5becc546bba74	fc111ca778e7756df10bd4bef7bbbaa55eac7e4b055b77f6b2657a17853e7eb2	6882f7aaf531a22cd213cc3fe43ce68bd4634780dd2e4c8d8b762f31997c74c41454c0a9b6ce3bd115ebdf9dffde0aeb1d9f316b9d50aa355f8c6450e059b933	747f0fa344944f8eef964af31f4275c75391378ea69d03ebaa51567613c8364a51fa8df7be55d24991f0360b3c0142b7baae88a75429abd8fb0714f50efd19ad	6d5c78d0c202612d68fdce3fd52615b2afba101da6ce2f5c15e90943d54e64e9	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	187432	194	351021	False	['range_factorized', 'gzipped']	[558, 773, 1484, 2802, 248946422]	20821112	16159838	0	256607	15383802	77.61275190297233	3130824	0.0	0	0	True	4	2244	True	SR	152.022775039	9243548	[]	quant	Mon Aug 17 11:55:27 2026	Mon Aug 17 11:57:59 2026
SRR960460	2.5.1	none	vb	[]	1	['SR']	1001	249.9999999999999	25.00166661148391	reads	True	False	False	0	mapping	False	a914953216178a8795a6ee7dfa2d3d22084150a3c28ecde0ade5becc546bba74	fc111ca778e7756df10bd4bef7bbbaa55eac7e4b055b77f6b2657a17853e7eb2	6882f7aaf531a22cd213cc3fe43ce68bd4634780dd2e4c8d8b762f31997c74c41454c0a9b6ce3bd115ebdf9dffde0aeb1d9f316b9d50aa355f8c6450e059b933	747f0fa344944f8eef964af31f4275c75391378ea69d03ebaa51567613c8364a51fa8df7be55d24991f0360b3c0142b7baae88a75429abd8fb0714f50efd19ad	6d5c78d0c202612d68fdce3fd52615b2afba101da6ce2f5c15e90943d54e64e9	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	187432	194	342345	False	['range_factorized', 'gzipped']	[558, 773, 1484, 2802, 248946422]	19150729	14862843	0	231944	14086132	77.609802739102	2886122	0.0	0	0	True	4	1967	True	SR	149.094715031	9300544	[]	quant	Mon Aug 17 11:57:59 2026	Mon Aug 17 12:00:29 2026
SRR960461	2.5.1	none	vb	[]	1	['SR']	1001	249.9999999999999	25.00166661148391	reads	True	False	False	0	mapping	False	a914953216178a8795a6ee7dfa2d3d22084150a3c28ecde0ade5becc546bba74	fc111ca778e7756df10bd4bef7bbbaa55eac7e4b055b77f6b2657a17853e7eb2	6882f7aaf531a22cd213cc3fe43ce68bd4634780dd2e4c8d8b762f31997c74c41454c0a9b6ce3bd115ebdf9dffde0aeb1d9f316b9d50aa355f8c6450e059b933	747f0fa344944f8eef964af31f4275c75391378ea69d03ebaa51567613c8364a51fa8df7be55d24991f0360b3c0142b7baae88a75429abd8fb0714f50efd19ad	6d5c78d0c202612d68fdce3fd52615b2afba101da6ce2f5c15e90943d54e64e9	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	187432	194	351067	False	['range_factorized', 'gzipped']	[558, 773, 1484, 2802, 248946422]	19322414	15090095	0	288193	14625307	78.0963237823183	2759144	0.0	0	0	True	4	1959	True	SR	141.563252405	9303644	[]	quant	Mon Aug 17 12:00:29 2026	Mon Aug 17 12:02:50 2026
SRR960462	2.5.1	none	vb	[]	1	['SR']	1001	249.9999999999999	25.00166661148391	reads	True	False	False	0	mapping	False	a914953216178a8795a6ee7dfa2d3d22084150a3c28ecde0ade5becc546bba74	fc111ca778e7756df10bd4bef7bbbaa55eac7e4b055b77f6b2657a17853e7eb2	6882f7aaf531a22cd213cc3fe43ce68bd4634780dd2e4c8d8b762f31997c74c41454c0a9b6ce3bd115ebdf9dffde0aeb1d9f316b9d50aa355f8c6450e059b933	747f0fa344944f8eef964af31f4275c75391378ea69d03ebaa51567613c8364a51fa8df7be55d24991f0360b3c0142b7baae88a75429abd8fb0714f50efd19ad	6d5c78d0c202612d68fdce3fd52615b2afba101da6ce2f5c15e90943d54e64e9	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	187432	194	342486	False	['range_factorized', 'gzipped']	[558, 773, 1484, 2802, 248946422]	17779670	13887204	0	261298	13391411	78.1072089639459	2543461	0.0	0	0	True	4	1687	True	SR	130.508673213	9301964	[]	quant	Mon Aug 17 12:02:50 2026	Mon Aug 17 12:05:01 2026
SRR960463	2.5.1	none	vb	[]	1	['SR']	1001	249.9999999999999	25.00166661148391	reads	True	False	False	0	mapping	False	a914953216178a8795a6ee7dfa2d3d22084150a3c28ecde0ade5becc546bba74	fc111ca778e7756df10bd4bef7bbbaa55eac7e4b055b77f6b2657a17853e7eb2	6882f7aaf531a22cd213cc3fe43ce68bd4634780dd2e4c8d8b762f31997c74c41454c0a9b6ce3bd115ebdf9dffde0aeb1d9f316b9d50aa355f8c6450e059b933	747f0fa344944f8eef964af31f4275c75391378ea69d03ebaa51567613c8364a51fa8df7be55d24991f0360b3c0142b7baae88a75429abd8fb0714f50efd19ad	6d5c78d0c202612d68fdce3fd52615b2afba101da6ce2f5c15e90943d54e64e9	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	187432	194	294208	False	['range_factorized', 'gzipped']	[558, 773, 1484, 2802, 248946422]	10987894	8682841	0	121126	8040577	79.02188535855916	1559489	0.0	0	0	True	4	1601	True	SR	83.220932018	9288356	[]	quant	Mon Aug 17 12:05:01 2026	Mon Aug 17 12:06:24 2026
SRR960464	2.5.1	none	vb	[]	1	['SR']	1001	249.9999999999999	25.00166661148391	reads	True	False	False	0	mapping	False	a914953216178a8795a6ee7dfa2d3d22084150a3c28ecde0ade5becc546bba74	fc111ca778e7756df10bd4bef7bbbaa55eac7e4b055b77f6b2657a17853e7eb2	6882f7aaf531a22cd213cc3fe43ce68bd4634780dd2e4c8d8b762f31997c74c41454c0a9b6ce3bd115ebdf9dffde0aeb1d9f316b9d50aa355f8c6450e059b933	747f0fa344944f8eef964af31f4275c75391378ea69d03ebaa51567613c8364a51fa8df7be55d24991f0360b3c0142b7baae88a75429abd8fb0714f50efd19ad	6d5c78d0c202612d68fdce3fd52615b2afba101da6ce2f5c15e90943d54e64e9	01c56669eed27669376eefee85477e65d513bd953a64fd8ee76277dbdf8f47d4	187432	194	287633	False	['range_factorized', 'gzipped']	[558, 773, 1484, 2802, 248946422]	10216633	8072519	0	110782	7452176	79.01349691233892	1454685	0.0	0	0	True	4	1876	True	SR	82.81107234	9296252	[]	quant	Mon Aug 17 12:06:24 2026	Mon Aug 17 12:07:47 2026
