.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR960455	1	1	1	1	0.25	1	1	1	0.25	1	1
SRR960456	1	1	1	1	0.25	1	1	1	0.25	1	1
SRR960457	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR960458	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR960459	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR960460	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR960461	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR960462	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR960463	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR960464	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR960465	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR960466	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR960467	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR960468	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR960469	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR960470	1	1	1	1	0.25	1	1	1	0.5	1	1
