Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR960455	(1, 0.06510917536569538)	(2, 0.0002588761522632229)	(3, 0.0)	(4, 0.0007146440259660802)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 4.557678737028573e-05)	(16, 0.00030992215411794293)	(18, 0.00023517622283067435)	(20, 7.292285979245716e-05)	(22, 0.0)	(24, 0.0)	(26, 0.0001877763639655772)	(28, 0.0012287501875029032)	(30, 0.000590675164318903)	(32, 0.014666610175757946)	(34, 0.006141927866019705)	(36, 0.003241421117774721)	(38, 0.0021876857937737147)	(40, 0.0005669752348863545)	(42, 0.0013618344066241377)	(44, 0.011450712058910587)	(46, 0.023878590439040098)	(48, 0.024399988886556166)	(50, 0.0180721077280657)	(52, 0.02318946941400138)	(54, 0.01989882536586675)	(56, 0.022970700834624005)	(58, 0.01091837518242565)	(60, 0.012878177039347936)	(62, 0.016972795616694406)	(64, 0.011930179862045993)	(66, 0.016894403542417516)	(68, 0.017838754576729832)	(70, 0.010398799806404391)	(72, 0.01811403837244636)	(74, 0.011561919420094085)	(76, 0.008845542892825053)	(78, 0.014413203237979158)	(80, 0.020493146673175273)	(82, 0.02230163359602821)	(84, 0.021884150223716398)	(86, 0.023769206149351414)	(88, 0.028873806334823414)	(90, 0.017031133904528373)	(92, 0.00988651671636238)	(94, 0.011217358907574724)	(96, 0.018657313677900165)	(98, 0.013297483483154564)	(100, 0.004036280289512504)
SRR960456	(1, 0.05178566910208726)	(2, 0.0)	(3, 0.0)	(4, 0.0035558595239084233)	(5, 0.006509836366709853)	(6, 0.004442844527645046)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 4.94969310120883e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.00021580661921270498)	(28, 9.89938620241766e-06)	(30, 0.0)	(32, 0.00010097373926466015)	(34, 0.0004454723791087947)	(36, 0.00452401949450487)	(38, 0.0013383970145668675)	(40, 0.0003623175350084863)	(42, 0.00032865962192026634)	(44, 0.0004355729929063771)	(46, 0.0)	(48, 7.127558065740715e-05)	(50, 0.0)	(52, 0.0)	(54, 4.35572992906377e-05)	(56, 5.345668549305536e-05)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.00018412858336496846)	(68, 0.00020788711025077086)	(70, 0.0)	(72, 3.959754480967064e-06)	(74, 3.7617667569187106e-05)	(76, 0.0)	(78, 0.0)	(80, 1.1879263442901192e-05)	(82, 0.0)	(84, 0.000461311397032663)	(86, 0.0005385266094115207)	(88, 0.0006018826811069937)	(90, 0.0020531326983814226)	(92, 0.0025698806581476246)	(94, 0.0019976961356478837)	(96, 0.002348134407213469)	(98, 0.003011393282775452)	(100, 0.003183642602697519)
SRR960457	(1, 0.06447398737541803)	(2, 0.00022836851741245138)	(3, 0.0)	(4, 0.0006357285754995267)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 3.703273255337049e-05)	(16, 0.00033020853193422027)	(18, 0.0001573891133518246)	(20, 8.332364824508362e-05)	(22, 0.0)	(24, 0.0)	(26, 0.00020368002904353773)	(28, 0.00136403898238248)	(30, 0.0006172122092228415)	(32, 0.014871728181224368)	(34, 0.006150519664905616)	(36, 0.003252708342604375)	(38, 0.0022188778921561152)	(40, 0.0005277164388855296)	(42, 0.00130540382250631)	(44, 0.011640622265942792)	(46, 0.02429038649396493)	(48, 0.024932287191556685)	(50, 0.018118264401736514)	(52, 0.023633055491142602)	(54, 0.020377261087492115)	(56, 0.023333707569669526)	(58, 0.01091231185905984)	(60, 0.013097243079708698)	(62, 0.01716158547744111)	(64, 0.012168338704828321)	(66, 0.01697024969258203)	(68, 0.01796087528838469)	(70, 0.010634566364909559)	(72, 0.0180935759133676)	(74, 0.011538782251421024)	(76, 0.008789101859333263)	(78, 0.014374872352799979)	(80, 0.020679695070011307)	(82, 0.022599225040694344)	(84, 0.022210381348883954)	(86, 0.02413608344165922)	(88, 0.029428678135745085)	(90, 0.017254167308824536)	(92, 0.009866137164427122)	(94, 0.011409167687484225)	(96, 0.01880645601501998)	(98, 0.01346448434419629)	(100, 0.004092116947147439)
SRR960458	(1, 0.052456169795719994)	(2, 0.0)	(3, 0.0)	(4, 0.0033660996085199337)	(5, 0.006678556195390147)	(6, 0.004526129951695129)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 4.0232266237290044e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.00023468821971752525)	(28, 3.352688853107503e-06)	(30, 0.0)	(32, 0.00010058066559322511)	(34, 0.0003889119069604704)	(36, 0.00466023750581943)	(38, 0.0013746024297740763)	(40, 0.0003922645958135779)	(42, 0.00026486241939549277)	(44, 0.000466023750581943)	(46, 0.0)	(48, 9.38752878870101e-05)	(50, 0.0)	(52, 0.0)	(54, 8.381722132768758e-05)	(56, 8.381722132768758e-05)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.00022127746430509521)	(68, 0.00022127746430509521)	(70, 0.0)	(72, 3.352688853107503e-06)	(74, 5.364302164972005e-05)	(76, 0.0)	(78, 0.0)	(80, 1.3410755412430012e-05)	(82, 0.0)	(84, 0.0004123807289322229)	(86, 0.0005666044161751681)	(88, 0.0005565463496158455)	(90, 0.002011613311864502)	(92, 0.00240387790767808)	(94, 0.0018439788692091268)	(96, 0.002145720865988802)	(98, 0.0031314113888024084)	(100, 0.0032789296983391386)
SRR960459	(1, 0.06354607765425785)	(2, 0.00022573242005518248)	(3, 0.0)	(4, 0.00068200007761353)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 4.802817447982605e-05)	(16, 0.0003530070824267215)	(18, 0.00020411974153926074)	(20, 7.924648789171299e-05)	(22, 0.0)	(24, 0.0)	(26, 0.00019451410664329553)	(28, 0.001219915631787582)	(30, 0.000578739502481904)	(32, 0.014309994586264172)	(34, 0.0061404021072457605)	(36, 0.0030978172539487805)	(38, 0.002134852355628268)	(40, 0.0005835423199298866)	(42, 0.001428838190774825)	(44, 0.01156038159729413)	(46, 0.023622657617902443)	(48, 0.02435028446127181)	(50, 0.01798655134269486)	(52, 0.022899833591981063)	(54, 0.019792410703136316)	(56, 0.02264048144979)	(58, 0.010734296996241123)	(60, 0.012681839471398068)	(62, 0.01683387515517903)	(64, 0.011843747826725105)	(66, 0.01660814273512385)	(68, 0.01772239638305581)	(70, 0.010155557493759218)	(72, 0.017739206244123753)	(74, 0.011286621002759123)	(76, 0.008669085493608602)	(78, 0.014173114288996667)	(80, 0.02033512907475835)	(82, 0.022148192661371784)	(84, 0.021739953178293265)	(86, 0.023255242083131775)	(88, 0.028552749728256586)	(90, 0.016896311782002807)	(92, 0.009644057435549072)	(94, 0.01111371957463175)	(96, 0.018257910528505873)	(98, 0.012900367665281279)	(100, 0.003832648323490119)
SRR960460	(1, 0.05135574734517939)	(2, 0.0)	(3, 0.0)	(4, 0.003404570134118654)	(5, 0.0066994838682120144)	(6, 0.004292264800990083)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 3.91630000090336e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0002584758000596217)	(28, 1.3054333336344532e-05)	(30, 0.0)	(32, 7.310426668352938e-05)	(34, 0.00043079300009936963)	(36, 0.004754388201096678)	(38, 0.001368094133648907)	(40, 0.0004099060667612184)	(42, 0.0003185257334068066)	(44, 0.0005430602667919326)	(46, 0.0)	(48, 0.00011226726669256297)	(50, 0.0)	(52, 0.0)	(54, 5.7439066679915946e-05)	(56, 6.004993334718485e-05)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.00023497800005420157)	(68, 0.0002401997333887394)	(70, 0.0)	(72, 5.221733334537814e-06)	(74, 7.571513335079829e-05)	(76, 0.0)	(78, 0.0)	(80, 1.566520000361344e-05)	(82, 0.0)	(84, 0.0003890191334230671)	(86, 0.0005430602667919326)	(88, 0.0005952776001373107)	(90, 0.0019242087337771841)	(92, 0.002428106000560083)	(94, 0.0018171632004191588)	(96, 0.002177462800502268)	(98, 0.003086044400711848)	(100, 0.0033314658674351246)
SRR960461	(1, 0.06373427253965265)	(2, 0.0002742928497443435)	(3, 0.0)	(4, 0.0006262157513031239)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 5.9516373057734915e-05)	(16, 0.0002846435233196018)	(18, 0.0002070134715051649)	(20, 5.6928704663920355e-05)	(22, 0.0)	(24, 0.0)	(26, 0.0001837244559608339)	(28, 0.0013688765803279031)	(30, 0.0006365664248783822)	(32, 0.014576336062357425)	(34, 0.00617158911924773)	(36, 0.003338092228020785)	(38, 0.002235745492255781)	(40, 0.0005977513989711638)	(42, 0.0013197108808454263)	(44, 0.01142973129547892)	(46, 0.023418398964021783)	(48, 0.024052377720506352)	(50, 0.017508164352549326)	(52, 0.022642098445877414)	(54, 0.019583474404388602)	(56, 0.02250495202100524)	(58, 0.010736236165936617)	(60, 0.012772731191868676)	(62, 0.016988043005392597)	(64, 0.012035245699631526)	(66, 0.016742214507980215)	(68, 0.01770482715047923)	(70, 0.010306683212563398)	(72, 0.017816096891413256)	(74, 0.011489247668536654)	(76, 0.008813598549332398)	(78, 0.01381297388618213)	(80, 0.01994574797952264)	(82, 0.021692424145347472)	(84, 0.02136379025933302)	(86, 0.0231906841453661)	(88, 0.0283789592749643)	(90, 0.01679655554425032)	(92, 0.009776211191831414)	(94, 0.011170964456097464)	(96, 0.018519942694530816)	(98, 0.013292852539025405)	(100, 0.004124743419740411)
SRR960462	(1, 0.051558887200943544)	(2, 0.0)	(3, 0.0)	(4, 0.003487128838724228)	(5, 0.006681788807103844)	(6, 0.004471399075460906)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 4.21830101458576e-05)	(18, 2.812200676390507e-06)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.00018560524464177343)	(28, 1.687320405834304e-05)	(30, 0.0)	(32, 6.186841488059116e-05)	(34, 0.00043026670348774755)	(36, 0.0047048117316013174)	(38, 0.001437034545635549)	(40, 0.00041058129875301395)	(42, 0.0003234030777849083)	(44, 0.0004724497136336051)	(46, 0.0)	(48, 8.717822096810571e-05)	(50, 0.0)	(52, 0.0)	(54, 5.0619612175029125e-05)	(56, 4.21830101458576e-05)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.00019685404734733547)	(68, 0.00023622485681680256)	(70, 0.0)	(72, 2.812200676390507e-06)	(74, 4.499521082224811e-05)	(76, 0.0)	(78, 0.0)	(80, 2.2497605411124056e-05)	(82, 0.0)	(84, 0.0004668253122808241)	(86, 0.0006664915603045501)	(88, 0.0006833647643628932)	(90, 0.0021485213167623473)	(92, 0.002629407632425124)	(94, 0.0020697796978234127)	(96, 0.0023959949762847117)	(98, 0.0031693501622921012)	(100, 0.003374640811668608)
SRR960463	(1, 0.0677108825403667)	(2, 0.0002457249769610082)	(3, 0.0)	(4, 0.0006006610547935755)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 5.4605550435779594e-05)	(16, 0.0003685874654415123)	(18, 0.00019566988906154353)	(20, 9.555971326261428e-05)	(22, 0.0)	(24, 0.0)	(26, 0.00018656896398891362)	(28, 0.0013105332104587101)	(30, 0.0006188629049388354)	(32, 0.013733295934598568)	(34, 0.005715380945611598)	(36, 0.002953250186068413)	(38, 0.0021569192422132943)	(40, 0.0006143124424025204)	(42, 0.001510753562056569)	(44, 0.01209512942152518)	(46, 0.024349525031821383)	(48, 0.025123103662994927)	(50, 0.018447575122220873)	(52, 0.023362074661441037)	(54, 0.020677301765015206)	(56, 0.02293433118302743)	(58, 0.011257844314843226)	(60, 0.012800451114654)	(62, 0.016572784557259107)	(64, 0.011867606294709431)	(66, 0.015812857313694507)	(68, 0.016795757221538542)	(70, 0.009888155091412422)	(72, 0.017432821976622638)	(74, 0.011043972575636423)	(76, 0.008877952408350499)	(78, 0.014911865731504144)	(80, 0.020904824891830955)	(82, 0.022761413606647463)	(84, 0.02249293631700488)	(86, 0.023971836641307243)	(88, 0.0292185199456784)	(90, 0.017269005325315296)	(92, 0.009683384277278249)	(94, 0.010857403611647509)	(96, 0.017469225676913155)	(98, 0.012431863649212487)	(100, 0.0036949755794877526)
SRR960464	(1, 0.053246504988483)	(2, 0.0)	(3, 0.0)	(4, 0.003964123992708753)	(5, 0.006694964965463671)	(6, 0.00506037556600105)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 3.9151841903296324e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.00021533513046812977)	(28, 9.787960475824081e-06)	(30, 0.0)	(32, 0.00012724348618571306)	(34, 0.00040620035974669934)	(36, 0.00462970530506479)	(38, 0.001360526506139547)	(40, 0.00039641239927087527)	(42, 0.0002740628933230742)	(44, 0.0005725956878357087)	(46, 0.0)	(48, 0.00014192542689944916)	(50, 0.0)	(52, 0.0)	(54, 2.44699011895602e-05)	(56, 4.89398023791204e-05)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.00020554716999230568)	(68, 0.0002642749328472502)	(70, 0.0)	(72, 4.8939802379120405e-06)	(74, 8.809164428241672e-05)	(76, 0.0)	(78, 0.0)	(80, 4.8939802379120405e-06)	(82, 0.0)	(84, 0.00038662443879505115)	(86, 0.0005432318064082364)	(88, 0.0005334438459324124)	(90, 0.0017911967670758066)	(92, 0.002187609166346682)	(94, 0.0016296954192247094)	(96, 0.002035895778971409)	(98, 0.0031125714313120574)	(100, 0.0033866343246351316)
