Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR960455	(2.0, 7405.0)	(3.0, 7568.0)	(4.0, 8879.0)	(5.0, 15243.0)	(6.0, 31377.0)	(7.0, 69866.0)	(8.0, 129499.0)	(9.0, 169083.0)	(10.0, 168201.0)	(11.0, 170771.0)	(12.0, 186381.0)	(13.0, 200422.0)	(14.0, 210092.0)	(15.0, 215310.0)	(16.0, 217643.0)	(17.0, 216815.0)	(18.0, 218485.0)	(19.0, 224481.0)	(20.0, 233528.0)	(21.0, 248950.0)	(22.0, 273291.0)	(23.0, 314397.0)	(24.0, 374825.0)	(25.0, 451877.0)	(26.0, 545707.0)	(27.0, 649253.0)	(28.0, 766535.0)	(29.0, 895463.0)	(30.0, 1038383.0)	(31.0, 1205929.0)	(32.0, 1402923.0)	(33.0, 1649427.0)	(34.0, 1971592.0)	(35.0, 2414377.0)	(36.0, 3014401.0)	(37.0, 3569509.0)	(38.0, 3123917.0)	(39.0, 813089.0)	(40.0, 1348.0)
SRR960456	(2.0, 7776.0)	(3.0, 7494.0)	(4.0, 9864.0)	(5.0, 14762.0)	(6.0, 30072.0)	(7.0, 66417.0)	(8.0, 121370.0)	(9.0, 159831.0)	(10.0, 158159.0)	(11.0, 159443.0)	(12.0, 170028.0)	(13.0, 179678.0)	(14.0, 188286.0)	(15.0, 191861.0)	(16.0, 192057.0)	(17.0, 192079.0)	(18.0, 194627.0)	(19.0, 199470.0)	(20.0, 208184.0)	(21.0, 223934.0)	(22.0, 247640.0)	(23.0, 284606.0)	(24.0, 339648.0)	(25.0, 411300.0)	(26.0, 494122.0)	(27.0, 592974.0)	(28.0, 701902.0)	(29.0, 820849.0)	(30.0, 956279.0)	(31.0, 1111033.0)	(32.0, 1289808.0)	(33.0, 1515437.0)	(34.0, 1806578.0)	(35.0, 2200394.0)	(36.0, 2739157.0)	(37.0, 3256202.0)	(38.0, 2949230.0)	(39.0, 859898.0)	(40.0, 1642.0)
SRR960457	(2.0, 4827.0)	(3.0, 4471.0)	(4.0, 4948.0)	(5.0, 8177.0)	(6.0, 16973.0)	(7.0, 38254.0)	(8.0, 71522.0)	(9.0, 94917.0)	(10.0, 94854.0)	(11.0, 97371.0)	(12.0, 105275.0)	(13.0, 114069.0)	(14.0, 119852.0)	(15.0, 122873.0)	(16.0, 124289.0)	(17.0, 124046.0)	(18.0, 125841.0)	(19.0, 129674.0)	(20.0, 134903.0)	(21.0, 143304.0)	(22.0, 158572.0)	(23.0, 183480.0)	(24.0, 217101.0)	(25.0, 261749.0)	(26.0, 318018.0)	(27.0, 379788.0)	(28.0, 448956.0)	(29.0, 525483.0)	(30.0, 609595.0)	(31.0, 708254.0)	(32.0, 822023.0)	(33.0, 970816.0)	(34.0, 1165766.0)	(35.0, 1428526.0)	(36.0, 1787994.0)	(37.0, 2134108.0)	(38.0, 1895051.0)	(39.0, 505297.0)	(40.0, 866.0)
SRR960458	(2.0, 4837.0)	(3.0, 4187.0)	(4.0, 5339.0)	(5.0, 7877.0)	(6.0, 16232.0)	(7.0, 35961.0)	(8.0, 67246.0)	(9.0, 89084.0)	(10.0, 89401.0)	(11.0, 90461.0)	(12.0, 95857.0)	(13.0, 102952.0)	(14.0, 106935.0)	(15.0, 109564.0)	(16.0, 110956.0)	(17.0, 110084.0)	(18.0, 112009.0)	(19.0, 114333.0)	(20.0, 120376.0)	(21.0, 129116.0)	(22.0, 142708.0)	(23.0, 164989.0)	(24.0, 196656.0)	(25.0, 238129.0)	(26.0, 288440.0)	(27.0, 346440.0)	(28.0, 408710.0)	(29.0, 480028.0)	(30.0, 559443.0)	(31.0, 651129.0)	(32.0, 759705.0)	(33.0, 890586.0)	(34.0, 1064945.0)	(35.0, 1300002.0)	(36.0, 1625420.0)	(37.0, 1946913.0)	(38.0, 1790924.0)	(39.0, 534367.0)	(40.0, 1062.0)
SRR960459	(2.0, 5910.0)	(3.0, 5881.0)	(4.0, 6151.0)	(5.0, 10479.0)	(6.0, 21188.0)	(7.0, 48673.0)	(8.0, 93063.0)	(9.0, 126434.0)	(10.0, 126607.0)	(11.0, 128937.0)	(12.0, 140105.0)	(13.0, 151405.0)	(14.0, 159581.0)	(15.0, 162993.0)	(16.0, 164185.0)	(17.0, 164447.0)	(18.0, 166721.0)	(19.0, 170154.0)	(20.0, 176997.0)	(21.0, 188471.0)	(22.0, 207952.0)	(23.0, 238972.0)	(24.0, 285548.0)	(25.0, 343112.0)	(26.0, 415929.0)	(27.0, 496064.0)	(28.0, 582891.0)	(29.0, 680125.0)	(30.0, 790541.0)	(31.0, 912097.0)	(32.0, 1064254.0)	(33.0, 1248029.0)	(34.0, 1491233.0)	(35.0, 1827493.0)	(36.0, 2283250.0)	(37.0, 2707732.0)	(38.0, 2380099.0)	(39.0, 646202.0)	(40.0, 1207.0)
SRR960460	(2.0, 5796.0)	(3.0, 5434.0)	(4.0, 6782.0)	(5.0, 9994.0)	(6.0, 20168.0)	(7.0, 45841.0)	(8.0, 87123.0)	(9.0, 118098.0)	(10.0, 119250.0)	(11.0, 119755.0)	(12.0, 127330.0)	(13.0, 135857.0)	(14.0, 143200.0)	(15.0, 145667.0)	(16.0, 146219.0)	(17.0, 146269.0)	(18.0, 148280.0)	(19.0, 151850.0)	(20.0, 159082.0)	(21.0, 169239.0)	(22.0, 187484.0)	(23.0, 216156.0)	(24.0, 257810.0)	(25.0, 312298.0)	(26.0, 377133.0)	(27.0, 451759.0)	(28.0, 532573.0)	(29.0, 624782.0)	(30.0, 726499.0)	(31.0, 840938.0)	(32.0, 977689.0)	(33.0, 1145421.0)	(34.0, 1366353.0)	(35.0, 1663210.0)	(36.0, 2072689.0)	(37.0, 2465345.0)	(38.0, 2240914.0)	(39.0, 679006.0)	(40.0, 1436.0)
SRR960461	(2.0, 4827.0)	(3.0, 4956.0)	(4.0, 5592.0)	(5.0, 9762.0)	(6.0, 20126.0)	(7.0, 45658.0)	(8.0, 86806.0)	(9.0, 117113.0)	(10.0, 117296.0)	(11.0, 119849.0)	(12.0, 130875.0)	(13.0, 140819.0)	(14.0, 147535.0)	(15.0, 151190.0)	(16.0, 152301.0)	(17.0, 152616.0)	(18.0, 153560.0)	(19.0, 158565.0)	(20.0, 165253.0)	(21.0, 174946.0)	(22.0, 193697.0)	(23.0, 221891.0)	(24.0, 265206.0)	(25.0, 320299.0)	(26.0, 387229.0)	(27.0, 463240.0)	(28.0, 544864.0)	(29.0, 634928.0)	(30.0, 737203.0)	(31.0, 853155.0)	(32.0, 992121.0)	(33.0, 1164115.0)	(34.0, 1393022.0)	(35.0, 1709020.0)	(36.0, 2129879.0)	(37.0, 2509039.0)	(38.0, 2168445.0)	(39.0, 574443.0)	(40.0, 973.0)
SRR960462	(2.0, 4871.0)	(3.0, 4779.0)	(4.0, 6143.0)	(5.0, 9420.0)	(6.0, 19452.0)	(7.0, 43676.0)	(8.0, 81985.0)	(9.0, 110384.0)	(10.0, 110639.0)	(11.0, 111395.0)	(12.0, 118932.0)	(13.0, 126708.0)	(14.0, 132160.0)	(15.0, 135128.0)	(16.0, 135140.0)	(17.0, 135339.0)	(18.0, 136888.0)	(19.0, 141114.0)	(20.0, 147633.0)	(21.0, 157252.0)	(22.0, 174945.0)	(23.0, 200623.0)	(24.0, 240856.0)	(25.0, 291665.0)	(26.0, 351272.0)	(27.0, 421436.0)	(28.0, 497677.0)	(29.0, 580224.0)	(30.0, 676834.0)	(31.0, 784436.0)	(32.0, 912806.0)	(33.0, 1067249.0)	(34.0, 1275251.0)	(35.0, 1553672.0)	(36.0, 1937236.0)	(37.0, 2290863.0)	(38.0, 2046003.0)	(39.0, 606348.0)	(40.0, 1236.0)
SRR960463	(2.0, 1240.0)	(3.0, 1516.0)	(4.0, 2240.0)	(5.0, 4273.0)	(6.0, 9207.0)	(7.0, 22110.0)	(8.0, 44447.0)	(9.0, 60344.0)	(10.0, 60889.0)	(11.0, 62382.0)	(12.0, 67931.0)	(13.0, 73786.0)	(14.0, 78174.0)	(15.0, 79979.0)	(16.0, 80661.0)	(17.0, 81450.0)	(18.0, 82261.0)	(19.0, 84442.0)	(20.0, 87851.0)	(21.0, 93719.0)	(22.0, 103095.0)	(23.0, 118263.0)	(24.0, 142242.0)	(25.0, 171476.0)	(26.0, 208096.0)	(27.0, 249230.0)	(28.0, 293719.0)	(29.0, 345025.0)	(30.0, 401177.0)	(31.0, 467030.0)	(32.0, 544872.0)	(33.0, 642197.0)	(34.0, 772727.0)	(35.0, 950397.0)	(36.0, 1206663.0)	(37.0, 1476283.0)	(38.0, 1396977.0)	(39.0, 418654.0)	(40.0, 869.0)
SRR960464	(2.0, 1333.0)	(3.0, 1590.0)	(4.0, 2471.0)	(5.0, 4250.0)	(6.0, 9178.0)	(7.0, 21621.0)	(8.0, 41857.0)	(9.0, 57153.0)	(10.0, 58027.0)	(11.0, 57667.0)	(12.0, 62548.0)	(13.0, 66753.0)	(14.0, 70327.0)	(15.0, 72317.0)	(16.0, 72911.0)	(17.0, 72702.0)	(18.0, 73370.0)	(19.0, 75856.0)	(20.0, 78953.0)	(21.0, 85202.0)	(22.0, 94459.0)	(23.0, 109149.0)	(24.0, 130887.0)	(25.0, 158410.0)	(26.0, 190669.0)	(27.0, 228942.0)	(28.0, 271191.0)	(29.0, 317875.0)	(30.0, 371258.0)	(31.0, 433446.0)	(32.0, 506221.0)	(33.0, 596056.0)	(34.0, 713834.0)	(35.0, 876474.0)	(36.0, 1106019.0)	(37.0, 1356303.0)	(38.0, 1324492.0)	(39.0, 443780.0)	(40.0, 1082.0)
