Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR960455	52.698259317520616	48.0	100.0	100	18.181818181818183	27.426242
SRR960456	51.42824494638309	48.0	100.0	100	18.181818181818183	25.254091
SRR960457	46.60051819384468	47.0	100.0	100	9.090909090909092	16.201883
SRR960458	45.65060950819425	47.0	100.0	100	9.090909090909092	14.913402999999999
SRR960459	48.80845487688108	47.0	100.0	100	9.090909090909092	20.821112
SRR960460	47.87491051194491	47.0	100.0	100	9.090909090909092	19.150729
SRR960461	48.10537647580359	48.0	100.0	100	9.090909090909092	19.322414
SRR960462	47.1242371146112	48.0	100.0	100	9.090909090909092	17.77967
SRR960463	42.335766030306566	47.0	100.0	100	9.090909090909092	10.987893999999999
SRR960464	41.28838761422372	47.0	100.0	100	9.090909090909092	10.216633
SRR960465	47.784145710523404	47.0	100.0	100	9.090909090909092	18.768962
SRR960466	46.470389318959704	47.0	100.0	100	9.090909090909092	17.301623
SRR960467	45.553360330292946	47.0	100.0	100	9.090909090909092	16.072353
SRR960468	44.30170167911284	47.0	100.0	100	9.090909090909092	14.770275
SRR960469	41.878594804351835	48.0	100.0	100	9.090909090909092	12.403621
SRR960470	41.03310020797999	48.0	100.0	100	9.090909090909092	11.514151
