Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR960455	(0.0, 285.0)	(1.0, 149.5)	(2.0, 11.0)	(3.0, 13.5)	(4.0, 17.5)	(5.0, 19.5)	(6.0, 26.0)	(7.0, 36.0)	(8.0, 50.0)	(9.0, 75.5)	(10.0, 112.0)	(11.0, 158.5)	(12.0, 230.5)	(13.0, 322.5)	(14.0, 483.5)	(15.0, 790.0)	(16.0, 1272.5)	(17.0, 2060.0)	(18.0, 3542.0)	(19.0, 6215.0)	(20.0, 10199.5)	(21.0, 16342.0)	(22.0, 25988.5)	(23.0, 39542.5)	(24.0, 57364.5)	(25.0, 80701.0)	(26.0, 111480.5)	(27.0, 148707.0)	(28.0, 191827.5)	(29.0, 239241.0)	(30.0, 288679.5)	(31.0, 338119.0)	(32.0, 389053.5)	(33.0, 442485.0)	(34.0, 493124.5)	(35.0, 544237.0)	(36.0, 601194.0)	(37.0, 660727.5)	(38.0, 715421.0)	(39.0, 765419.0)	(40.0, 805192.5)	(41.0, 841718.0)	(42.0, 877550.5)	(43.0, 902918.5)	(44.0, 916433.5)	(45.0, 932033.5)	(46.0, 943213.5)	(47.0, 932641.0)	(48.0, 914789.5)	(49.0, 897398.0)	(50.0, 881544.0)	(51.0, 863653.5)	(52.0, 838567.0)	(53.0, 807260.0)	(54.0, 776603.5)	(55.0, 751710.0)	(56.0, 717002.5)	(57.0, 670514.0)	(58.0, 634712.0)	(59.0, 603055.5)	(60.0, 564489.0)	(61.0, 524923.5)	(62.0, 476956.0)	(63.0, 428324.0)	(64.0, 388634.5)	(65.0, 350859.5)	(66.0, 310262.5)	(67.0, 269155.5)	(68.0, 229662.0)	(69.0, 189392.5)	(70.0, 155173.5)	(71.0, 130231.0)	(72.0, 110053.5)	(73.0, 90823.0)	(74.0, 74322.0)	(75.0, 64342.0)	(76.0, 58784.0)	(77.0, 51677.5)	(78.0, 43503.5)	(79.0, 37730.0)	(80.0, 32858.0)	(81.0, 27973.5)	(82.0, 25666.0)	(83.0, 23078.5)	(84.0, 19764.5)	(85.0, 16509.5)	(86.0, 13727.5)	(87.0, 10515.5)	(88.0, 7142.5)	(89.0, 5422.5)	(90.0, 4004.0)	(91.0, 2612.5)	(92.0, 1588.0)	(93.0, 885.5)	(94.0, 495.0)	(95.0, 301.5)	(96.0, 159.5)	(97.0, 84.5)	(98.0, 39.5)	(99.0, 13.0)	(100.0, 7.0)
SRR960456	(0.0, 228.0)	(1.0, 119.0)	(2.0, 12.5)	(3.0, 18.0)	(4.0, 21.0)	(5.0, 17.5)	(6.0, 21.5)	(7.0, 35.5)	(8.0, 53.5)	(9.0, 86.0)	(10.0, 117.0)	(11.0, 159.0)	(12.0, 224.0)	(13.0, 314.0)	(14.0, 477.5)	(15.0, 715.5)	(16.0, 1185.0)	(17.0, 2028.0)	(18.0, 3316.0)	(19.0, 5606.5)	(20.0, 9381.5)	(21.0, 15159.5)	(22.0, 23937.0)	(23.0, 36350.5)	(24.0, 53284.0)	(25.0, 75178.0)	(26.0, 103705.5)	(27.0, 138240.5)	(28.0, 178129.0)	(29.0, 221826.5)	(30.0, 267568.0)	(31.0, 313463.5)	(32.0, 360879.0)	(33.0, 410286.5)	(34.0, 456859.5)	(35.0, 503431.5)	(36.0, 555917.5)	(37.0, 611952.5)	(38.0, 662654.0)	(39.0, 709381.0)	(40.0, 745428.0)	(41.0, 779277.0)	(42.0, 812474.5)	(43.0, 833881.5)	(44.0, 845801.0)	(45.0, 860060.0)	(46.0, 870466.5)	(47.0, 860060.5)	(48.0, 843056.0)	(49.0, 826184.0)	(50.0, 810175.0)	(51.0, 794255.5)	(52.0, 771184.5)	(53.0, 741053.0)	(54.0, 712294.5)	(55.0, 689110.0)	(56.0, 656781.0)	(57.0, 614246.5)	(58.0, 580570.5)	(59.0, 550241.0)	(60.0, 516016.5)	(61.0, 480068.5)	(62.0, 434913.5)	(63.0, 390787.0)	(64.0, 355465.0)	(65.0, 320636.5)	(66.0, 282980.5)	(67.0, 245261.0)	(68.0, 208950.0)	(69.0, 172906.0)	(70.0, 141663.0)	(71.0, 118499.0)	(72.0, 100497.0)	(73.0, 83052.0)	(74.0, 68120.5)	(75.0, 59115.0)	(76.0, 54056.0)	(77.0, 47976.0)	(78.0, 40449.5)	(79.0, 34886.0)	(80.0, 30379.0)	(81.0, 25864.5)	(82.0, 23916.0)	(83.0, 21525.5)	(84.0, 18397.0)	(85.0, 15409.5)	(86.0, 12583.5)	(87.0, 9608.5)	(88.0, 6675.0)	(89.0, 5015.0)	(90.0, 3734.0)	(91.0, 2473.5)	(92.0, 1480.0)	(93.0, 849.0)	(94.0, 476.0)	(95.0, 280.0)	(96.0, 170.5)	(97.0, 85.0)	(98.0, 32.0)	(99.0, 9.5)	(100.0, 2.5)
SRR960457	(0.0, 100.0)	(1.0, 55.0)	(2.0, 5.5)	(3.0, 7.0)	(4.0, 10.0)	(5.0, 10.0)	(6.0, 17.0)	(7.0, 21.5)	(8.0, 28.0)	(9.0, 45.0)	(10.0, 63.0)	(11.0, 87.0)	(12.0, 137.5)	(13.0, 196.5)	(14.0, 288.5)	(15.0, 432.0)	(16.0, 742.5)	(17.0, 1254.5)	(18.0, 2010.0)	(19.0, 3489.5)	(20.0, 5921.0)	(21.0, 9499.5)	(22.0, 15157.0)	(23.0, 23300.0)	(24.0, 33882.5)	(25.0, 47816.5)	(26.0, 65999.0)	(27.0, 88358.0)	(28.0, 114807.0)	(29.0, 143058.5)	(30.0, 172726.0)	(31.0, 202493.5)	(32.0, 232155.5)	(33.0, 263673.0)	(34.0, 294143.0)	(35.0, 324585.0)	(36.0, 358600.5)	(37.0, 394686.5)	(38.0, 427575.0)	(39.0, 457150.5)	(40.0, 480368.5)	(41.0, 501804.5)	(42.0, 521312.0)	(43.0, 534213.0)	(44.0, 542399.0)	(45.0, 550988.0)	(46.0, 557478.0)	(47.0, 551515.5)	(48.0, 540022.0)	(49.0, 529125.5)	(50.0, 519023.0)	(51.0, 508053.5)	(52.0, 493287.5)	(53.0, 475455.5)	(54.0, 457351.0)	(55.0, 441969.0)	(56.0, 422061.5)	(57.0, 395038.5)	(58.0, 372984.0)	(59.0, 353498.0)	(60.0, 331363.5)	(61.0, 309006.0)	(62.0, 280112.0)	(63.0, 250273.0)	(64.0, 226651.5)	(65.0, 204258.5)	(66.0, 180460.5)	(67.0, 156702.0)	(68.0, 133609.0)	(69.0, 110188.5)	(70.0, 90351.5)	(71.0, 75853.0)	(72.0, 63962.0)	(73.0, 52830.5)	(74.0, 43484.0)	(75.0, 37381.5)	(76.0, 34081.5)	(77.0, 30373.0)	(78.0, 25511.0)	(79.0, 21752.0)	(80.0, 18788.0)	(81.0, 16095.0)	(82.0, 14941.5)	(83.0, 13444.0)	(84.0, 11498.0)	(85.0, 9622.5)	(86.0, 7867.5)	(87.0, 5944.5)	(88.0, 4045.5)	(89.0, 3076.5)	(90.0, 2305.0)	(91.0, 1538.0)	(92.0, 905.0)	(93.0, 497.0)	(94.0, 275.5)	(95.0, 168.0)	(96.0, 101.5)	(97.0, 52.5)	(98.0, 21.0)	(99.0, 5.0)	(100.0, 1.5)
SRR960458	(0.0, 94.0)	(1.0, 52.0)	(2.0, 9.0)	(3.0, 9.5)	(4.0, 11.0)	(5.0, 14.0)	(6.0, 14.0)	(7.0, 15.0)	(8.0, 28.5)	(9.0, 51.0)	(10.0, 64.0)	(11.0, 88.0)	(12.0, 131.0)	(13.0, 174.5)	(14.0, 249.5)	(15.0, 399.0)	(16.0, 681.5)	(17.0, 1117.0)	(18.0, 1896.5)	(19.0, 3268.0)	(20.0, 5438.0)	(21.0, 8809.5)	(22.0, 13897.0)	(23.0, 21170.0)	(24.0, 31129.5)	(25.0, 44356.0)	(26.0, 61550.0)	(27.0, 82150.5)	(28.0, 106127.0)	(29.0, 132623.0)	(30.0, 160474.0)	(31.0, 187575.5)	(32.0, 214779.0)	(33.0, 244179.0)	(34.0, 272602.5)	(35.0, 301123.5)	(36.0, 333100.0)	(37.0, 365666.5)	(38.0, 395418.0)	(39.0, 423770.5)	(40.0, 443820.5)	(41.0, 462685.0)	(42.0, 481656.5)	(43.0, 493641.5)	(44.0, 501064.0)	(45.0, 509544.5)	(46.0, 514228.0)	(47.0, 507730.0)	(48.0, 498099.0)	(49.0, 487095.0)	(50.0, 477204.0)	(51.0, 467545.5)	(52.0, 454080.5)	(53.0, 436339.0)	(54.0, 418785.0)	(55.0, 405891.0)	(56.0, 387003.5)	(57.0, 361113.0)	(58.0, 341022.5)	(59.0, 322467.5)	(60.0, 302206.5)	(61.0, 281886.0)	(62.0, 255559.5)	(63.0, 228928.0)	(64.0, 207140.0)	(65.0, 186200.5)	(66.0, 164266.0)	(67.0, 142326.0)	(68.0, 121724.5)	(69.0, 100090.0)	(70.0, 81935.0)	(71.0, 69505.0)	(72.0, 58403.0)	(73.0, 47928.5)	(74.0, 39466.5)	(75.0, 34098.0)	(76.0, 31258.5)	(77.0, 27801.5)	(78.0, 23422.0)	(79.0, 20107.5)	(80.0, 17490.5)	(81.0, 14972.0)	(82.0, 13865.5)	(83.0, 12557.0)	(84.0, 10712.5)	(85.0, 8922.0)	(86.0, 7307.0)	(87.0, 5609.0)	(88.0, 3894.0)	(89.0, 2931.5)	(90.0, 2164.0)	(91.0, 1439.5)	(92.0, 852.0)	(93.0, 481.5)	(94.0, 292.5)	(95.0, 188.0)	(96.0, 109.5)	(97.0, 61.5)	(98.0, 21.0)	(99.0, 4.5)	(100.0, 1.0)
SRR960459	(0.0, 83.0)	(1.0, 43.5)	(2.0, 8.5)	(3.0, 10.5)	(4.0, 9.0)	(5.0, 18.0)	(6.0, 25.5)	(7.0, 31.5)	(8.0, 47.5)	(9.0, 73.5)	(10.0, 92.0)	(11.0, 130.0)	(12.0, 206.5)	(13.0, 293.5)	(14.0, 437.5)	(15.0, 685.5)	(16.0, 1119.5)	(17.0, 1946.5)	(18.0, 3314.5)	(19.0, 5537.0)	(20.0, 9141.5)	(21.0, 14690.0)	(22.0, 22860.5)	(23.0, 34194.0)	(24.0, 49585.5)	(25.0, 69860.0)	(26.0, 95854.0)	(27.0, 126876.5)	(28.0, 160911.5)	(29.0, 196984.5)	(30.0, 235481.5)	(31.0, 273597.5)	(32.0, 311638.0)	(33.0, 351617.5)	(34.0, 390569.5)	(35.0, 429090.0)	(36.0, 470436.0)	(37.0, 509680.0)	(38.0, 544263.0)	(39.0, 579016.5)	(40.0, 603595.5)	(41.0, 624680.0)	(42.0, 644945.5)	(43.0, 658166.5)	(44.0, 664865.0)	(45.0, 672609.5)	(46.0, 679543.5)	(47.0, 671160.0)	(48.0, 657402.0)	(49.0, 652846.0)	(50.0, 650669.0)	(51.0, 639460.5)	(52.0, 619189.0)	(53.0, 602888.5)	(54.0, 597897.5)	(55.0, 594439.5)	(56.0, 582034.0)	(57.0, 549705.0)	(58.0, 514998.0)	(59.0, 487925.0)	(60.0, 460789.0)	(61.0, 425073.5)	(62.0, 377400.0)	(63.0, 331027.0)	(64.0, 291500.0)	(65.0, 259622.5)	(66.0, 228764.5)	(67.0, 198090.0)	(68.0, 167710.0)	(69.0, 134004.5)	(70.0, 106983.5)	(71.0, 89652.5)	(72.0, 75083.5)	(73.0, 61358.0)	(74.0, 49839.5)	(75.0, 43031.5)	(76.0, 40288.5)	(77.0, 36198.5)	(78.0, 30215.0)	(79.0, 26031.5)	(80.0, 22614.0)	(81.0, 19000.0)	(82.0, 17368.0)	(83.0, 15562.0)	(84.0, 13234.0)	(85.0, 10830.5)	(86.0, 8775.0)	(87.0, 6663.0)	(88.0, 4641.5)	(89.0, 3548.0)	(90.0, 2659.5)	(91.0, 1779.5)	(92.0, 1081.0)	(93.0, 587.0)	(94.0, 303.0)	(95.0, 180.0)	(96.0, 96.5)	(97.0, 48.0)	(98.0, 22.5)	(99.0, 8.0)	(100.0, 5.5)
SRR960460	(0.0, 92.0)	(1.0, 50.5)	(2.0, 8.0)	(3.0, 10.0)	(4.0, 16.0)	(5.0, 17.0)	(6.0, 19.0)	(7.0, 34.5)	(8.0, 54.5)	(9.0, 74.0)	(10.0, 91.0)	(11.0, 129.0)	(12.0, 201.0)	(13.0, 289.0)	(14.0, 387.5)	(15.0, 606.0)	(16.0, 1093.0)	(17.0, 1824.5)	(18.0, 3009.0)	(19.0, 5072.0)	(20.0, 8403.0)	(21.0, 13640.0)	(22.0, 21133.0)	(23.0, 31634.0)	(24.0, 45988.5)	(25.0, 64829.5)	(26.0, 88755.0)	(27.0, 117471.0)	(28.0, 149086.5)	(29.0, 182732.5)	(30.0, 218605.0)	(31.0, 253582.5)	(32.0, 288510.0)	(33.0, 325708.0)	(34.0, 362171.0)	(35.0, 397814.0)	(36.0, 436074.0)	(37.0, 472023.5)	(38.0, 503490.5)	(39.0, 535844.5)	(40.0, 558747.5)	(41.0, 578088.5)	(42.0, 597464.0)	(43.0, 609699.5)	(44.0, 614339.5)	(45.0, 620356.0)	(46.0, 627583.0)	(47.0, 618179.5)	(48.0, 603853.0)	(49.0, 599223.5)	(50.0, 596883.0)	(51.0, 587189.0)	(52.0, 566775.0)	(53.0, 551647.0)	(54.0, 547737.0)	(55.0, 544935.0)	(56.0, 533882.0)	(57.0, 503378.5)	(58.0, 469814.5)	(59.0, 444030.5)	(60.0, 419563.5)	(61.0, 387409.0)	(62.0, 344623.0)	(63.0, 301659.5)	(64.0, 264599.0)	(65.0, 236014.5)	(66.0, 208241.0)	(67.0, 180029.5)	(68.0, 152729.5)	(69.0, 122275.5)	(70.0, 97337.0)	(71.0, 81522.0)	(72.0, 68458.0)	(73.0, 55958.0)	(74.0, 45424.0)	(75.0, 39189.5)	(76.0, 36862.5)	(77.0, 33226.0)	(78.0, 27799.5)	(79.0, 24161.0)	(80.0, 20989.5)	(81.0, 17620.0)	(82.0, 15988.5)	(83.0, 14098.5)	(84.0, 12176.5)	(85.0, 10224.0)	(86.0, 8186.0)	(87.0, 6188.0)	(88.0, 4317.0)	(89.0, 3248.5)	(90.0, 2446.0)	(91.0, 1642.5)	(92.0, 985.0)	(93.0, 562.0)	(94.0, 305.0)	(95.0, 165.0)	(96.0, 91.5)	(97.0, 52.0)	(98.0, 20.5)	(99.0, 5.5)	(100.0, 2.0)
SRR960461	(0.0, 117.0)	(1.0, 64.0)	(2.0, 9.5)	(3.0, 9.0)	(4.0, 12.5)	(5.0, 15.0)	(6.0, 13.5)	(7.0, 16.0)	(8.0, 28.0)	(9.0, 52.5)	(10.0, 78.0)	(11.0, 112.0)	(12.0, 163.5)	(13.0, 231.0)	(14.0, 335.0)	(15.0, 539.0)	(16.0, 882.5)	(17.0, 1486.5)	(18.0, 2548.0)	(19.0, 4306.5)	(20.0, 7204.5)	(21.0, 11632.5)	(22.0, 18213.0)	(23.0, 27978.0)	(24.0, 41087.5)	(25.0, 58151.5)	(26.0, 80739.5)	(27.0, 108302.5)	(28.0, 138712.5)	(29.0, 171635.5)	(30.0, 206652.0)	(31.0, 240728.0)	(32.0, 274788.5)	(33.0, 311442.0)	(34.0, 347045.5)	(35.0, 382375.0)	(36.0, 421207.0)	(37.0, 457481.0)	(38.0, 489295.0)	(39.0, 521771.0)	(40.0, 545647.5)	(41.0, 565817.0)	(42.0, 586184.0)	(43.0, 600661.5)	(44.0, 608509.0)	(45.0, 617909.5)	(46.0, 626824.0)	(47.0, 619467.0)	(48.0, 607840.5)	(49.0, 606498.5)	(50.0, 605518.0)	(51.0, 597344.5)	(52.0, 580262.0)	(53.0, 566604.0)	(54.0, 565845.0)	(55.0, 565380.5)	(56.0, 554704.0)	(57.0, 523521.0)	(58.0, 490024.0)	(59.0, 466005.5)	(60.0, 442482.0)	(61.0, 409766.5)	(62.0, 365462.5)	(63.0, 322376.0)	(64.0, 284925.5)	(65.0, 254746.5)	(66.0, 225001.5)	(67.0, 195053.5)	(68.0, 165747.5)	(69.0, 133260.0)	(70.0, 106689.0)	(71.0, 89114.5)	(72.0, 74862.5)	(73.0, 61769.0)	(74.0, 50546.0)	(75.0, 43785.5)	(76.0, 41155.5)	(77.0, 36619.5)	(78.0, 30438.5)	(79.0, 26214.0)	(80.0, 22827.0)	(81.0, 19543.0)	(82.0, 17936.5)	(83.0, 15891.5)	(84.0, 13588.0)	(85.0, 11565.5)	(86.0, 9449.5)	(87.0, 7126.5)	(88.0, 4924.5)	(89.0, 3729.0)	(90.0, 2881.0)	(91.0, 2041.5)	(92.0, 1254.5)	(93.0, 712.0)	(94.0, 409.5)	(95.0, 259.5)	(96.0, 156.5)	(97.0, 86.0)	(98.0, 35.0)	(99.0, 8.5)	(100.0, 2.5)
SRR960462	(0.0, 106.0)	(1.0, 56.5)	(2.0, 6.5)	(3.0, 11.5)	(4.0, 15.0)	(5.0, 13.5)	(6.0, 20.0)	(7.0, 22.0)	(8.0, 29.0)	(9.0, 56.5)	(10.0, 72.5)	(11.0, 89.5)	(12.0, 141.5)	(13.0, 207.0)	(14.0, 309.0)	(15.0, 497.5)	(16.0, 823.0)	(17.0, 1408.5)	(18.0, 2354.0)	(19.0, 3894.5)	(20.0, 6558.0)	(21.0, 10677.5)	(22.0, 16796.0)	(23.0, 25593.5)	(24.0, 37448.0)	(25.0, 53486.5)	(26.0, 74556.5)	(27.0, 100139.5)	(28.0, 128358.0)	(29.0, 158118.5)	(30.0, 190393.5)	(31.0, 223006.5)	(32.0, 255252.5)	(33.0, 289970.5)	(34.0, 322792.0)	(35.0, 354893.0)	(36.0, 390537.0)	(37.0, 424001.5)	(38.0, 453928.5)	(39.0, 483740.0)	(40.0, 504972.5)	(41.0, 523154.0)	(42.0, 541925.0)	(43.0, 555660.0)	(44.0, 562311.5)	(45.0, 570279.5)	(46.0, 578310.5)	(47.0, 572026.5)	(48.0, 561815.0)	(49.0, 558955.0)	(50.0, 557225.0)	(51.0, 548610.5)	(52.0, 532165.0)	(53.0, 519361.5)	(54.0, 518235.5)	(55.0, 518480.0)	(56.0, 507447.0)	(57.0, 477883.5)	(58.0, 448061.0)	(59.0, 425388.5)	(60.0, 403469.0)	(61.0, 373471.5)	(62.0, 332210.5)	(63.0, 292935.0)	(64.0, 258650.5)	(65.0, 231429.5)	(66.0, 204958.5)	(67.0, 177795.0)	(68.0, 151253.5)	(69.0, 121850.0)	(70.0, 97671.0)	(71.0, 81570.5)	(72.0, 68482.0)	(73.0, 56467.0)	(74.0, 46458.0)	(75.0, 40346.5)	(76.0, 37499.5)	(77.0, 33594.0)	(78.0, 28280.0)	(79.0, 24239.0)	(80.0, 21061.5)	(81.0, 18070.5)	(82.0, 16597.5)	(83.0, 14820.5)	(84.0, 12580.5)	(85.0, 10638.5)	(86.0, 8881.5)	(87.0, 6641.5)	(88.0, 4530.0)	(89.0, 3476.0)	(90.0, 2597.0)	(91.0, 1797.0)	(92.0, 1184.0)	(93.0, 695.5)	(94.0, 388.0)	(95.0, 226.0)	(96.0, 141.0)	(97.0, 81.0)	(98.0, 26.5)	(99.0, 6.0)	(100.0, 3.5)
SRR960463	(0.0, 2.0)	(1.0, 2.0)	(2.0, 1.5)	(3.0, 5.0)	(4.0, 6.5)	(5.0, 7.5)	(6.0, 10.5)	(7.0, 10.0)	(8.0, 22.5)	(9.0, 40.5)	(10.0, 52.0)	(11.0, 72.0)	(12.0, 94.0)	(13.0, 133.0)	(14.0, 219.0)	(15.0, 341.5)	(16.0, 541.5)	(17.0, 943.5)	(18.0, 1683.5)	(19.0, 2810.5)	(20.0, 4701.0)	(21.0, 7867.0)	(22.0, 12308.0)	(23.0, 18645.0)	(24.0, 27553.0)	(25.0, 39145.0)	(26.0, 53778.0)	(27.0, 72956.5)	(28.0, 93808.5)	(29.0, 114654.5)	(30.0, 137525.0)	(31.0, 160446.5)	(32.0, 181096.0)	(33.0, 202103.5)	(34.0, 225931.0)	(35.0, 249424.5)	(36.0, 271982.5)	(37.0, 293635.0)	(38.0, 310655.5)	(39.0, 327224.5)	(40.0, 340918.0)	(41.0, 350379.0)	(42.0, 359391.0)	(43.0, 363835.5)	(44.0, 363727.5)	(45.0, 365248.5)	(46.0, 364347.0)	(47.0, 354414.5)	(48.0, 343286.0)	(49.0, 337342.0)	(50.0, 333622.5)	(51.0, 327777.0)	(52.0, 313337.5)	(53.0, 301157.5)	(54.0, 299671.0)	(55.0, 296889.0)	(56.0, 287737.5)	(57.0, 271010.5)	(58.0, 252990.5)	(59.0, 237157.0)	(60.0, 223340.5)	(61.0, 205081.0)	(62.0, 182609.0)	(63.0, 161497.0)	(64.0, 140964.0)	(65.0, 124844.5)	(66.0, 109549.0)	(67.0, 94500.0)	(68.0, 80662.5)	(69.0, 65131.5)	(70.0, 52380.0)	(71.0, 43324.5)	(72.0, 35856.5)	(73.0, 30059.0)	(74.0, 24586.5)	(75.0, 20752.0)	(76.0, 18934.0)	(77.0, 16849.0)	(78.0, 14072.0)	(79.0, 11760.5)	(80.0, 9932.5)	(81.0, 8456.0)	(82.0, 7607.0)	(83.0, 6552.5)	(84.0, 5560.5)	(85.0, 4546.5)	(86.0, 3434.5)	(87.0, 2490.5)	(88.0, 1748.5)	(89.0, 1265.0)	(90.0, 984.0)	(91.0, 744.5)	(92.0, 514.5)	(93.0, 298.0)	(94.0, 151.5)	(95.0, 86.5)	(96.0, 46.5)	(97.0, 24.5)	(98.0, 11.0)	(99.0, 5.0)	(100.0, 3.5)
SRR960464	(0.0, 0.0)	(1.0, 1.0)	(2.0, 2.0)	(3.0, 2.0)	(4.0, 4.0)	(5.0, 7.0)	(6.0, 11.0)	(7.0, 16.5)	(8.0, 22.0)	(9.0, 35.5)	(10.0, 49.0)	(11.0, 68.5)	(12.0, 102.5)	(13.0, 141.0)	(14.0, 200.0)	(15.0, 323.0)	(16.0, 540.0)	(17.0, 921.5)	(18.0, 1563.0)	(19.0, 2645.5)	(20.0, 4506.5)	(21.0, 7315.0)	(22.0, 11597.5)	(23.0, 17709.0)	(24.0, 25835.5)	(25.0, 36508.5)	(26.0, 50422.0)	(27.0, 68498.5)	(28.0, 88068.0)	(29.0, 107343.0)	(30.0, 128757.5)	(31.0, 150683.0)	(32.0, 170065.5)	(33.0, 190125.0)	(34.0, 212343.0)	(35.0, 233717.0)	(36.0, 254433.0)	(37.0, 275046.5)	(38.0, 291529.0)	(39.0, 305765.0)	(40.0, 317790.0)	(41.0, 327346.0)	(42.0, 335586.5)	(43.0, 339378.5)	(44.0, 338882.5)	(45.0, 340448.5)	(46.0, 339824.0)	(47.0, 329942.5)	(48.0, 319666.5)	(49.0, 313197.0)	(50.0, 309187.5)	(51.0, 303763.0)	(52.0, 289675.0)	(53.0, 279362.0)	(54.0, 277699.5)	(55.0, 274517.5)	(56.0, 266190.5)	(57.0, 249486.0)	(58.0, 232771.0)	(59.0, 218583.0)	(60.0, 205783.5)	(61.0, 188663.0)	(62.0, 167774.5)	(63.0, 148989.5)	(64.0, 129945.5)	(65.0, 114972.5)	(66.0, 100921.0)	(67.0, 87151.5)	(68.0, 74562.5)	(69.0, 59738.5)	(70.0, 47904.0)	(71.0, 39882.0)	(72.0, 33001.0)	(73.0, 27500.0)	(74.0, 22548.0)	(75.0, 19097.5)	(76.0, 17476.5)	(77.0, 15640.5)	(78.0, 13035.5)	(79.0, 10823.0)	(80.0, 9217.0)	(81.0, 7934.0)	(82.0, 7208.5)	(83.0, 6176.5)	(84.0, 5147.0)	(85.0, 4190.5)	(86.0, 3130.0)	(87.0, 2235.0)	(88.0, 1638.0)	(89.0, 1266.0)	(90.0, 965.0)	(91.0, 740.0)	(92.0, 519.0)	(93.0, 302.0)	(94.0, 152.5)	(95.0, 87.5)	(96.0, 52.5)	(97.0, 28.0)	(98.0, 9.5)	(99.0, 3.0)	(100.0, 1.5)
