Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR960455	SRR960455.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27426242.0	2.7 Gbp	0.0	100.0	48.0	47.301740682479384	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR960456	SRR960456.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25254091.0	2.5 Gbp	0.0	100.0	48.0	48.57175505361691	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR960457	SRR960457.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16201883.0	1.6 Gbp	0.0	100.0	47.0	53.39948180615532	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR960458	SRR960458.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14913403.0	1.4 Gbp	0.0	100.0	47.0	54.34939049180575	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR960459	SRR960459.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20821112.0	2 Gbp	0.0	100.0	47.0	51.19154512311892	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR960460	SRR960460.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19150729.0	1.9 Gbp	0.0	100.0	47.0	52.12508948805509	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR960461	SRR960461.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19322414.0	1.9 Gbp	0.0	100.0	48.0	51.89462352419641	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR960462	SRR960462.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17779670.0	1.7 Gbp	0.0	100.0	48.0	52.8757628853888	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR960463	SRR960463.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10987894.0	1 Gbp	0.0	100.0	47.0	57.664233969693434	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR960464	SRR960464.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10216633.0	1 Gbp	0.0	100.0	47.0	58.71161238577628	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR960465	SRR960465.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18768962.0	1.8 Gbp	0.0	100.0	47.0	52.215854289476596	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR960466	SRR960466.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17301623.0	1.7 Gbp	0.0	100.0	47.0	53.529610681040296	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR960467	SRR960467.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16072353.0	1.6 Gbp	0.0	100.0	47.0	54.446639669707054	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR960468	SRR960468.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14770275.0	1.4 Gbp	0.0	100.0	47.0	55.69829832088716	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR960469	SRR960469.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12403621.0	1.2 Gbp	0.0	100.0	48.0	58.121405195648165	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
SRR960470	SRR960470.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11514151.0	1.1 Gbp	0.0	100.0	48.0	58.96689979202001	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
